workerid,proliferate.condition,randomID,error
344,2,IDG3QSqxGqP8UhxM,
212,2,euqOhubQkCgemG5z,
199,1,ISN4j39cVGtoV9F6,
206,1,GaUn2z4cSRPVjRLn,
285,1,ohIZsuc32oCIC6ya,
293,1,DB7PaqGTijATCLLE,
230,1,wUrlj3jFsGRP5Ucr,
215,1,UngWNlMbNsIXIEvb,
269,1,u5BqAQ3w7pmMCiCs,
245,1,QkbCuvZ61oF0hIum,
309,1,xA7mWURdbQdYzZ5k,
237,1,ccgffuZvj8Y74l96,
317,1,XSuwfAd0wbnm9adj,
301,1,zxuX9NF97A9zLqas,
222,1,GyynT9TJIqjjTiIQ,
334,1,ijN29WBAvVvvhF3t,
351,1,BHFzWrg1eEOLPPBP,
185,11,tw0HKbB6tDE0GPIk,
325,16,KpGYYOrr2gVNkGBx,
183,16,0OwXdob3n0kJJQZW,
328,16,MNlUPgPQoBlNGEeL,
322,14,N9U5LKrRQ3Pxi9Nu,
187,14,fHf119EoP5Cvu2ft,
330,14,5iKiZzXvTeLSNBrP,
180,15,5gZBgqCxWbDVpbm3,
320,15,XpZmhHH8uYY0oWea,
192,15,DwfvT4XmmQS5CX0Y,
176,9,YxX7FtswEMJqqanO,
321,9,YS4E1TEnEuemQbHx,
197,12,f48Ewo46sMth8MCl,
324,12,wYyi48Bro5VOf9p4,
329,12,JeWt6bKEMEVPTMaq,
184,12,kfy17r8v9wxjoi1l,
273,6,QoVVoO1uYH68pOC6,
305,6,7VO34PSaQB8Codjw,
297,6,zCbhdfhn9aEDdFxS,
281,6,fcjBSaHjVf75sbva,
289,6,TVcw7HUJmapk5rN3,
354,6,fRUUYvMlFcNzgf40,
195,6,Ky7KnpOdsJnOE822,
265,6,xG8Aip44mxrWwizB,
313,6,mVKLnr03C6mjbXbV,
219,6,zeosDNqadPX4wA6y,
361,6,GJJkYoHLiQHNHjVW,
359,6,v2D051pRo6QKHXUY,
343,6,UogdlyvGqYx5ZyHn,
233,6,OX2lW53OdVUzSBL6,
223,7,PuBJWp0HGJRzn6hz,
335,7,v9ZCWB8R392FoLZC,
207,7,Z8UXJdivs6rCdimp,
190,7,sM00JyRfGry9YuoT,
310,7,tWAHqaeUcTg9RZgr,
278,7,Ln6af3MKctGZhlos,
286,7,ar4cBX7y7y3Zbz4h,
179,7,ZsUfRL7LImZplc6V,
231,7,ac4LaCw1qwVQaEt7,
246,7,RucRTk4iojl68deX,
254,7,5VUXQFPJTxyieyo7,
294,7,6QvedzmMnDx15uuv,
302,7,OiX1evhpTpMYohYx,
262,7,YqKY3m4GCreq1FrD,
341,7,ChCKv91QPEnDXwn3,
