workerid,proliferate.condition,speaker,error
222,1,"other than the pen in their mouth?  No.  As for the ASI/ASHI part, I watched her lips move and really didnt see much variation from ASI.  I know how to lipread (I am hearing, was raised in a deaf community) and I didn't see any differences in the way her moved.  Give it a try. Your mouth moves much differently for ASI than ASHI!  ",
334,1,"I noticed that sometimes she had a pen in her mouth to confuse what she was saying. I thought she was saying ""asi"" every time, but then I learned to read her lips.",
351,1,She kept putting the pen in her mouth so the words might have sounded different than normal.,
185,11,"They were playing with a pen? 

Their enthusiasm/alertness waned from the start of the experiment going onward. (Mostly noticable in the first section)

It seemed like they purposely pronounced 's' as 'sh' in some of the first sections words. I wasn't sure if that counted as a real word or not. I can't remember if I chose to reject any but may have.",
325,16,she had a pen in her mouth some of the times.,
183,16,Pen in mouth,
328,16,"I think it was a bit odd how she was chewing on the pen. Also, with the ashi vs asi, it looked like it may have been dubbed. ",
322,14,Nothing,
187,14,They had a pen,
330,14,They were playing with and chewing on a pen and not looking at the camera.,
180,15,During the second part they appeared to have been dubbed over. During the first part the usually had their pen in their mouth when saying a non-word.,
320,15,"No, not really.",
192,15,,
176,9,Nothing,
321,9,SHE HAD A PEN IN HER MOUTH SOMETIMES.,
197,12,"In the second part, it seemed clear that you were playing the same sound byte several times in a row, although the video was changing. ",
324,12,She kept sticking a pen in her mouth making the second part of the experiment difficult.,
329,12,,
184,12,She kept chewing on that pen and seemed to be trying to be awfully seductive for just rattling off words and sounds.,
273,6,She kept putting that pencil in her mouth which was very annoying and confusing during asi-ashi. She was affectless too.,
305,6,Obsession with pen.,
297,6,no,
281,6,I noticed the speaker holding and chewing on a pen.,
289,6,"No, except her putting a pen in her mouth.",
354,6,They chewed on their pen a lot.,
195,6,That the person was articulate even with a pen in thier mouth fiddling with it.,
265,6,She just looked very distracted and the vibe of the video felt a little off.,
313,6,nothing in particular,
219,6,Her mouth did not seem to match the words and she was annoying to watch. She had a pen in her mouth half the time and looked bored. ,
361,6,I didn't really notice anything strange they just seemed very flippant,
359,6,I noticed they wouldn't quit chewing on a pen.,
343,6,The asi ashi videos definitely were using different clips that didn't quite match up to the audio. In a lot of the clips she was putting the pen in her mouth but I don't really think it messed up any pronunciations.,
233,6,No.,
223,7,no,
335,7,She always put the end of the marker in her mouth after every word.,
207,7,,
190,7,"Not really, she did really love sticking that pen in her mouth all the time. ",
310,7,I did not notice anything that unusual about this woman.,
278,7,I noticed that at times they would use the pen in or around their mouth to obscure their mouth movements in some way. ,
286,7,"I found her constant varying of (expressions?  Poses?) distracting, to the extent that a couple of times I didn't 'hear' the word she said clearly.",
179,7,The speaker seemed normal to me. Nothing odd,
231,7,,
246,7,Nothing odd,
254,7,"She never looked at the camera. She was playing with a pen the whole time, sometimes sticking it in her mouth.",
294,7,She always had that pen near her mouth.,
302,7,they kept putting a pen in their mouth ,
262,7,She was influencing the sounds of the words by chewing on a pen.,
341,7,The audio didn't seem like it fit with the lip movements,
