workerid,proliferate.condition,comments,error
250,2,"I didn't see any white dots in the second phase or was I blind to them? I was definitely looking for them, while trying to concentrate on what the woman was saying.",
227,2,,
314,2,,
282,2,,
290,2,Everything on the survey worked properly.,
203,2,Thank you!,
347,2,,
298,2,,
274,2,,
193,2,N/A,
306,2,,
266,2,"There seemed to be a sound, on occasion, when the white dot appeared. Sort of like a very subtle pop. ",
344,2,,
212,2,,
199,1,"My uncle was a smoker, he was close to me but I did not see him daily. I visited him at least once a month. I smoked for 15ish years. Quit in my 20s.",
206,1,,
285,1,,
293,1,,
230,1,,
215,1,,
269,1,,
245,1,Interesting study. Some words may have been real I just may not have recognized them. ,
309,1,I have no further comments.,
237,1,,
317,1,,
301,1,,
222,1,,
334,1,none,
351,1,,
185,11,"The video was ahead of the audio so I mostly tried to avoid looking at the speaker while paying attention for the dot.

And I chose 'Si' rather than 'Shi' based on what I thought she intended rather than fully enunciated. Otherwise I'd have only selected 'Si' a few times, or even less.",
325,16,thanks,
183,16,,
328,16,,
322,14,,
187,14,,
330,14,,
180,15,I swear the second part was just the same audio clip dubbed over the video over and over. ,
320,15,N/A,
192,15,your speaker has a very expressive face which made it easier to watch the clips - she was interesting,
176,9,I hit x by mistake on one trial when I should have hit M since the speaker said a word that does not exist. It happened halfway through the experiment. ,
321,9,,
197,12,,
324,12,"four videos didn't load properly, both were at the very beginning with the sound check (lemonade and cabbage) but I pressed several times.  The other time was at the beginning of each section when the first video played.",
329,12,,
184,12,,
273,6,,
305,6,,
297,6,,
281,6,,
289,6,"On the 2nd part all the words sounded pretty much the same. Great study, thank you!",
354,6,,
195,6,"I only thought she said the ""SH"" sound maybe a few times only once distinctly. ",
265,6,,
313,6,"I am not certain the asi vs ashi sounds were any different. There were only 2-3 times i marked ""ashi"" not sure if they were real or paranoia that I had not heard any distinct difference. ",
219,6,N/A,
361,6,None,
359,6,,
343,6,"The asi ashi part really confused me. It was really hard to differentiate between ashi or asi on a lot of the audio clips, but specific ones were easy to pick out as being one or the other. Sometimes I would hear asi from an audio clip, but then what sounded like the exact same audio would then sound like ashi to me and so I felt like I must've been flip flopping in my head constantly. I thought this study was interesting and I thank you for giving me the opportunity to participate.",
233,6,N/A,
223,7,,
335,7,,
207,7,,
190,7,,
310,7,"I at first had a hard time distinguishing between ashi and asi, and they all sounded like ashi.  But I started to hear the difference as I got further into it.",
278,7,The study ran very smoothly from start to finish and all the videos loaded and worked as expected. ,
286,7,It would have been helpful to have a trial run for the second part like you did for the first.  Both sounds were similar enough that it took me a little while before I began being able to differentiate them.  (I kept expecting more variation between the two at first.),
179,7,Thank you,
231,7,,
246,7,It took me some time to differentiate the sounds in the second section.,
254,7,"I live in WA state but am visiting in TX right now, so CT zone.",
294,7,I don't have any....,
302,7,,
262,7,No comments,
341,7,,
