Experiment,ParticipantID,Talker.SpeechDescription,Talker.SpeechDescription_Odd,Talker.SpeechDescription_Pen,Talker.SpeechDescription_PenMadeCategorizationDifficult,Talker.SpeechDescription_PenAffectsPronunciation,Talker.SpeechDescription_PenHypothesizedToMatter,Talker.SpeechDescription_WhiteDot,Talker.SpeechDescription_PlaybackIssue,Talker.SpeechDescription_AudioVideoMisaligned,Talker.SpeechDescription_PotentialNonNative,Talker.SpeechDescription_PotentialBot
CISP-1b,1b.9,Using a pen making it a bit harder to lip read.,,yes,yes,,,,,,,
CISP-1c,1c.1,AT TIMES SHE HAD A PEN IN HER MOUTH AND SOMETIMES SHE WOULD OVEREXAGGERATE MOVEMENTS WITH HER MOUTH,,yes,,,,,,,,
CISP-1c,1c.10,"I didn't notice anything odd, just that she had a pen or something in her mouth sometimes.",,yes,,,,,,,,
CISP-1c,1c.11,there was no white dot but figured I'd test the function out just in case it signiled something,,,,,,yes,,,,
CISP-1c,1c.12,"The fact that she was holding a pen, and that sometimes she held it in her teeth and other times did not.",,yes,,,,,,,,
CISP-1c,1c.13,No lag in audio/video,,,,,,,,,,
CISP-1c,1c.14,Nothing odd I guess.,,,,,,,,,,
CISP-1c,1c.15,she seemed to be doing the same thing over and over,,,,,,,,,,
CISP-1c,1c.16,She had a pen in her mouth.,,yes,,,,,,,,
CISP-1c,1c.17,it did not matter if the person had the pen in their mouth the pronunciation did not seem to be affected. Their voice did not seem to match their image.,,yes,,,,,,yes,,
CISP-1c,1c.18,Their lips did not match the voice,,,,,,,,yes,,
CISP-1c,1c.19,"I noticed that the pen played a crucial role in this experiment, she would adjust the positioning each clip, some no pen in her mouth. I focused on her mouth and looked for the familiar mouth form when saying the ""sh"" blend.",,yes,,,yes,,,,,
CISP-1c,1c.2,,,,,,,,,,,
CISP-1c,1c.20,It looked like she was possibly trying to influence what we hear by doing something with the pen. She could also be trying to influence what we hear by her mouth movements and expressions.,yes,yes,,,yes,,,,,
CISP-1c,1c.22,"The way she mouthed the words sometimes didn't match the word being spoken.  For instance, sometimes she made a ""shh"" expression when the speaker said ""asi"".",,,,,,,,yes,,
CISP-1c,1c.23,"You could sometimes make out which one she was saying by reading her lips, but mostly it was obstructed by her chewing on her pen.",,yes,yes,,,,,,,
CISP-1c,1c.24,Was biting her pen a lot,,yes,,,,,,,,
CISP-1c,1c.25,No,,,,,,,,,,
CISP-1c,1c.26,She made different sounds when the pen was in her mouth.,,yes,,yes,,,,,,
CISP-1c,1c.27,Just that she kept chewing on a pen/pencil and seemed distracted with her surroundings.,,yes,,,,,,,,
CISP-1c,1c.28,,,,,,,,,,,
CISP-1c,1c.29,They were making unique faces.,,,,,,,,,,
CISP-1c,1c.3,Her red hair was not natural.,,,,,,,,,,
CISP-1c,1c.30,She's beautiful!,,,,,,,,,,
CISP-1c,1c.31,She was speaking with a writing utensil in her mouth.,,yes,,,,,,,,
CISP-1c,1c.32,No I did not notice anything odd about the person in the video.,,,,,,,,,,
CISP-1c,1c.33,,,,,,,,,,,
CISP-1c,1c.34,"she was speaking with a pen in her mouth sometimes
her mouth didn't match the words
she didn't look engaged",,yes,,,,,,yes,,
CISP-1c,1c.35,"1) Her voice doesn't seem to fit her body frame and her facial features. It's like she lip-synced to a recording of somebody else.

2) There were (in my opinion) WAY more times she said ""asi"" than ""ashi.""

3) She looked really, really bored. Like ""If I have to do this any more I'm gonna snooze"" bored.",,,,,,,,yes,,
CISP-1c,1c.36,I thought she moved her lips a little differently for the two different words.  The pen sometimes in her mouth made it difficult,,yes,yes,,,,,yes,,
CISP-1c,1c.37,no,,,,,,,,,,
CISP-1c,1c.39,She wasn't the source of the audio and sometimes it didn't even look like she was saying ashi/asi,,,,,,,,yes,,
CISP-1c,1c.4,sometimes it didnt seem like she was saying either. Also i never saw a white dot. Was it hidden in the video or off to the side?,,,,,,yes,,yes,,
CISP-1c,1c.40,I don't think she was saying the word. It looked like she was having a different conversation and at certain times she was putting the pin in her mouth.,,yes,,,,,,yes,,
CISP-1c,1c.41,"She was putting something in her mouth, a pencil I think.",,yes,,,,,,,,
CISP-1c,1c.42,She had a pencil in her mouth and was looking away.,,yes,,,,,,,,
CISP-1c,1c.43,,,,,,,,,,,
CISP-1c,1c.45,She was sticking the pen in her mouth which impacted her speech,,yes,,yes,,,,,,
CISP-1c,1c.46,,,,,,,,,,,
CISP-1c,1c.47,she was chewing on a pen,,yes,,,,,,,,
CISP-1c,1c.48,"Not particularly, she chewed on that pen quite a bit though...",,yes,,,,,,,,
CISP-1c,1c.49,,,,,,,,,,,
CISP-1c,1c.5,NOTHING,,,,,,,,,,
CISP-1c,1c.50,no,,,,,,,,,,
CISP-1c,1c.51,no nothing,,,,,,,,,,
CISP-1c,1c.52,She had a pen that she was putting in her mouth for some of the clips.,,yes,,,,,,,,
CISP-1c,1c.53,"I question whether she was a native American English speaker. She looked Finnish or something, and it looked like her mouth moved a little weird at times.",yes,,,,,,,yes,,
CISP-1c,1c.54,"She was chewing the pen, and very often said ASI, while doing this to make it sound as ASHI",,yes,,yes,,,,,,
CISP-1c,1c.55,,,,,,,,,,,
CISP-1c,1c.57,I did not.,,,,,,,,,,
CISP-1c,1c.58,no,,,,,,,,,,
CISP-1c,1c.59,Her lips didn't match neither words,,,,,,,,yes,,
CISP-1c,1c.6,I have seen this video before.,,,,,,,,,,
CISP-1c,1c.60,No.,,,,,,,,,,
CISP-1c,1c.61,I did not understand why the speaker had a writing utensil placed in her mouth at times. It made it difficult sometimes to understand what she was speaking.,,yes,yes,,,,,,,
CISP-1c,1c.62,yes when she had a pen i think she said something else,,yes,,yes,,,,,,
CISP-1c,1c.63,"She was chewing on a pen a lot, and the voice didn't seem like it was hers.",,yes,,,,,,yes,,
CISP-1c,1c.7,seemed to be almost like an AI,,,,,,,,yes,,
CISP-1c,1c.8,"In some videos she had what appeared to be a pen and or a vape pen in her mouth, and at other times, the pen and or vape pen was away from her mouth.  While I did look at her mouth to see the annunciations of the words, I felt as what she was saying was not in sync with the audio itself.",,yes,,,,,,yes,,
CISP-1c,1c.9,I noticed they were hiding their lip movements by chewing on the pen.,,yes,yes,,,,,,,
CISP-2a,2a.1,none,,,,,,,,,,
CISP-2a,2a.10,The person kept playing with a pen while speaking.,,yes,,,,,,,,
CISP-2a,2a.11,"I didn't concentrate on her appearance much, because I was trying to focus in on what she was saying rather than how she looked.",,,,,,,,,,
CISP-2a,2a.12,I didn't notice anything odd expect that they were making the same movements every time.,yes,,,,,,,,,
CISP-2a,2a.13,THE PERSON IN THE VIDEO WAS BITING A PEN FREQUENTLY WHICH LOOKED ODD.,,yes,,,,,,,,
CISP-2a,2a.14,To you be a like me most earphones to be the video person to ear phones to them,,,,,,,,,,yes
CISP-2a,2a.15,No,,,,,,,,,,
CISP-2a,2a.16,"nothing, but i never saw any white dots",,,,,,yes,,,,
CISP-2a,2a.17,She was turning around during her say.,yes,,,,,,,,yes,
CISP-2a,2a.18,,,,,,,,,,,
CISP-2a,2a.19,the lagged with the words,,,,,,,yes,,yes,
CISP-2a,2a.2,No,,,,,,,,,,
CISP-2a,2a.20,no,,,,,,,,,,
CISP-2a,2a.21,no issues everything ok with the study,,,,,,,,,,
CISP-2a,2a.22,NA,,,,,,,,,,
CISP-2a,2a.23,No. Pretty young lady. I am 74 so everybody is young to me. :-),,,,,,,,,,
CISP-2a,2a.24,I did notice anything in particular about the person.,,,,,,,,,,
CISP-2a,2a.25,no,,,,,,,,,,
CISP-2a,2a.26,"She kept playing with the pen/pencil in her hand, pointing it in different directions, which was slightly distracting.

She might have had a Southern or inner-city accent, but I would need to hear her speak a complete sentence to confirm this.  Maybe her physical appearance and demeanor suggest this to me.",yes,yes,,,,,,,,
CISP-2a,2a.27,no,,,,,,,,,,
CISP-2a,2a.28,Nothing odd except they were always twirling a pen in their hand or holding it close to their face.,,yes,,,,,,,,
CISP-2a,2a.29,no,,,,,,,,,,
CISP-2a,2a.3,Sometimes she had a pen in her mouth,,yes,,,,,,,,
CISP-2a,2a.30,NA,,,,,,,,,,
CISP-2a,2a.31,just that he always had something in her mouth while speaking.,,yes,,,,,,,,
CISP-2a,2a.32,"She seemed to be chewing on a pen in some parts of the video, and not in other parts.",,yes,,,,,,,,
CISP-2a,2a.33,Sometimes the words sounded nearly the same due to the speakers accent; but you could slightly make out what they were attempting to say.,yes,,,,,,,,,
CISP-2a,2a.34,no,,,,,,,,,,
CISP-2a,2a.35,Not really except she was holding a pen.,,yes,,,,,,,,
CISP-2a,2a.36,Her mouth was hidden when the sounds were made. I don't think she was pronouncing the sounds at all and the video was made of the few same clips.,,,,,,,,yes,,
CISP-2a,2a.37,Nothing,,,,,,,,,,
CISP-2a,2a.38,"Just a loop playing. To me , every word was the same.",,,,,,,,,,
CISP-2a,2a.39,Put pen in mouth sometimes,,yes,,,,,,,,
CISP-2a,2a.4,nothing odd.,,,,,,,,,,
CISP-2a,2a.40,She dangled what looks like a pencil in her mouth.,,yes,,,,,,,,
CISP-2a,2a.41,I didn't notice anything odd about the speaker.,,,,,,,,,,
CISP-2a,2a.42,Nothing,,,,,,,,,,
CISP-2a,2a.43,said the same thing over and over,,,,,,,,,,
CISP-2a,2a.44,no i did not,,,,,,,,,,
CISP-2a,2a.45,no,,,,,,,,,,
CISP-2a,2a.46,Everything appeared very normally on my end.,,,,,,,,,,
CISP-2a,2a.47,I DID NOT NOTICE ANYTHING. I WAS CONCENTRATING ON WHAT I WAS HEARING.,,,,,,,,,,
CISP-2a,2a.48,The person in the video was not actually saying anything and it was the same 2 or 3 movements. speaker also had item in her mouth.,,yes,,,,,,yes,,
CISP-2a,2a.49,"In a lot of the videos she was talking with a pen in her mouth, which I'm assuming was deliberate.",,yes,,,yes,,,,,
CISP-2a,2a.5,I think is really very very interesting,,,,,,,,,,
CISP-2a,2a.50,She seemed to put the pen in and out of her mouth a lot.,,yes,,,,,,,,
CISP-2a,2a.51,No,,,,,,,,,,
CISP-2a,2a.52,Did not notice anything odd.,,,,,,,,,,
CISP-2a,2a.53,She didn't really appear to be speaking.Ê Just chewing on a pen and looking around.,,yes,,,,,,yes,,
CISP-2a,2a.54,nothing really other tahn it didnt look like that person was saying it at any point based on body language,,,,,,,,yes,,
CISP-2a,2a.55,Seemed to chewing on a pen,,yes,,,,,,,,
CISP-2a,2a.56,"Not really.Ê Though it was pretty hard to decide what she was saying until the end, when I understood her speech nuances better.",yes,,,,,,,,,
CISP-2a,2a.57,her putting the pen in her mouth was DISTRACTING,,yes,,,,,,,,
CISP-2a,2a.58,no,,,,,,,,,,
CISP-2a,2a.59,No.,,,,,,,,,,
CISP-2a,2a.6,"No, I did not.",,,,,,,,,,
CISP-2a,2a.60,Sometimes she had a pen in her mouth.,,yes,,,,,,,,
CISP-2a,2a.61,These person is bite the pen,,yes,,,,,,,yes,
CISP-2a,2a.62,these person is bite pen,,yes,,,,,,,yes,
CISP-2a,2a.63,no,,,,,,,,,,
CISP-2a,2a.64,very interesting,,,,,,,,,,
CISP-2a,2a.7,I noticed that the speaker had a southern English accent.,yes,,,,,,,,,
CISP-2a,2a.8,That are very quality speech and nice,,,,,,,,,yes,
CISP-2a,2a.9,none,,,,,,,,,,
CISP-2b,2b.1,i suspect audio is not coming from the person on the video,,,,,,,,yes,,
CISP-2b,2b.10,No,,,,,,,,,,
CISP-2b,2b.11,it wasn't her voice,,,,,,,,yes,,
CISP-2b,2b.12,did not felt anything odd,,,,,,,,,,
CISP-2b,2b.13,No,,,,,,,,,,
CISP-2b,2b.14,I don't believe it was her voice that I heard. She appears bored.,,,,,,,,yes,,
CISP-2b,2b.15,no,,,,,,,,,,
CISP-2b,2b.16,Not really.Ê I just accepted that it was part of the experiment.,,,,,,,,,,
CISP-2b,2b.17,No,,,,,,,,,,
CISP-2b,2b.18,"aside from the mouth being covered, nothing odd",,,,,,,,,,
CISP-2b,2b.19,no,,,,,,,,,,
CISP-2b,2b.2,None,,,,,,,,,,
CISP-2b,2b.20,no,,,,,,,,,,
CISP-2b,2b.21,"Nope, nothing strange here! Though, from my personal perspective the woman when she said ""ashi"" sounded like an African American pronunciation of ""aw shit"" while the ""asi"" sounded like a Southern American ""I see"". That is just my personal perspective I mean no harm.",,,,,,,,,,
CISP-2b,2b.22,NA,,,,,,,,,,
CISP-2b,2b.23,,,,,,,,,,,
CISP-2b,2b.24,"Nothing seemed odd to me, though it didn't seem like she was actually saying the word.",,,,,,,,yes,,
CISP-2b,2b.25,The woman in the video looked uninterested and bored. She looked like she wanted to do something other than be a part of this experiment.,,,,,,,,,,
CISP-2b,2b.26,nothing really odd just maybe her mouth wasn't always with the sound,,,,,,,,yes,,
CISP-2b,2b.27,No,,,,,,,,,,
CISP-2b,2b.28,NA,,,,,,,,,,
CISP-2b,2b.29,"I only noticed that the pronunciation was at points, hard to differentiate between asi and ashi",,,,,,,,,,
CISP-2b,2b.3,None,,,,,,,,,,
CISP-2b,2b.30,The pen was always in her right hand.,,yes,,,,,,,,
CISP-2b,2b.31,no,,,,,,,,,,
CISP-2b,2b.32,Speaker/sound I heard didn't appear to be coming from person in video.,,,,,,,,yes,,
CISP-2b,2b.33,NA,,,,,,,,,,
CISP-2b,2b.34,No,,,,,,,,,,
CISP-2b,2b.35,NA,,,,,,,,,,
CISP-2b,2b.36,A NORMAL YOUNG RED HEAD GIRL,,,,,,,,,,
CISP-2b,2b.37,this person bite pen,,yes,,,,,,,yes,
CISP-2b,2b.38,THIS PERSON BITE PEN,,yes,,,,,,,yes,
CISP-2b,2b.39,She seemed bored and had an odd oral fixation.,,yes,,,,,,,,
CISP-2b,2b.4,Almost perfect.,,,,,,,,,,?
CISP-2b,2b.40,"No.Ê I was concentrating so much on whether the pen was in her mouth and whether she was saying an S sound or an S-H sound, so I didn't pay attention to anything else.",,yes,,,,,,,,
CISP-2b,2b.41,no,,,,,,,,,,
CISP-2b,2b.42,this PERSON BITE PEN,,yes,,,,,,,yes,
CISP-2b,2b.43,As far as I can tell she said the same thing over and over again.,,,,,,,,,,
CISP-2b,2b.44,nothing,,,,,,,,,,
CISP-2b,2b.45,nice,,,,,,,,,,
CISP-2b,2b.46,nothing,,,,,,,,,,
CISP-2b,2b.47,nothing,,,,,,,,,,
CISP-2b,2b.48,nothing,,,,,,,,,,
CISP-2b,2b.49,no,,,,,,,,,,
CISP-2b,2b.5,None.,,,,,,,,,,
CISP-2b,2b.50,no,,,,,,,,,,
CISP-2b,2b.51,THIS PERSON BITE PEN,,yes,,,,,,,yes,
CISP-2b,2b.52,NOTHING,,,,,,,,,,
CISP-2b,2b.53,the person handling pen,,yes,,,,,,,?,
CISP-2b,2b.54,the person bite pen,,yes,,,,,,,yes,
CISP-2b,2b.55,It is interesting video.,,,,,,,,,,?
CISP-2b,2b.56,NOTHING,,,,,,,,,,
CISP-2b,2b.57,Interesting video,,,,,,,,,,?
CISP-2b,2b.58,nothing,,,,,,,,,,
CISP-2b,2b.59,nothing,,,,,,,,,,
CISP-2b,2b.6,Nothing,,,,,,,,,,
CISP-2b,2b.60,THE WOMEN BITE THE PEN,,yes,,,,,,,yes,
CISP-2b,2b.61,None,,,,,,,,,,
CISP-2b,2b.62,NO,,,,,,,,,,
CISP-2b,2b.63,None,,,,,,,,,,
CISP-2b,2b.64,I saw her body language and expression other than a voice.,,,,,,,,,,
CISP-2b,2b.7,Almost Perfect.,,,,,,,,,,"? (same comment, same punctuation)"
CISP-2b,2b.8,That it didn't really seem like her voice.,,,,,,,,yes,,
CISP-2b,2b.9,"No, I did not notice anything strange in her to be honest",,,,,,,,,,
