"ParticipantID" "Assignment.Comment" "speaker"
"1" "65" "" "The speaker appears to have a lisp. There were some words spoken that were actual words, but due to the lisp sounded as if they were not \"real\" words. Some examples are when the speaker says the words \"legacy\", \"pregnancy\", \"peninsula\", and more. The word \"legacy\", for instance, is phonetically leh-gah-see but the speaker pronounces it as leh-gah-she with the H sound. The lisp makes it difficult to further distinguish between ASI and ASHI pronunciation. "
Please don't penalize me for always answering \"Asi\", as that's what I heard 100% of the time, and I never saw the dot." "She sometimes put her pen in her mouth, which seemed to sometimes affect her pronunciation. Sometimes she also pronounced words with an \"SH\" sound, as opposed to an \"S\" sound, and did so very inconsistently."
"43" "127" "No comments at this time, thanks." "Seemed a bit fidgety and distracted, at times. Maybe even a bit bored, I don't know if this was part of your experiment."
"44" "128" "" ""
"45" "133" "Was the 2nd half supposed to have the same sound played over and over? There was no ashi at all." "She had a pen in her mouth about half of the time. Was that to see if we could still understand her? The 2nd half of the experiment was just the same exact asi sound over and over."
"46" "134" "" "The person kept putting her pen in her mouth and her body language suggested she was bored, impatient, or didn't want to be sitting there."
"47" "135" "Two things - on the second round of ASI vs. ASHI - it honestly sounded like the same ASI sounds almost the entire time. I started to second guess myself to try and hear 'better' and when I thought there might have been more of 'SH' sounds, I chose that. But that could also be wrong. It actually started to make me feel anxious because I really heard ASI and maybe the subtle ASHI wasn't actually happening? 

In the first round, just as an FYI, I noticed when the white dot would show up the text at the bottom of the screen would flash and then disappear, unlike all the other times when the text would remain on screen until I made a choice and moved on. Not sure if this was intended or a glitch." "In the first part, just that she had the pen in her mouth most of the time. In the second part that her mouth movement didn't match what was being said - or didn't look like it matched."
"48" "137" "" "The speaker had a pen in their mouth a lot."
"49" "138" "" "They often appeared to be disinterested and also was often speaking while chewing on something"
"50" "139" "" "She kept chewing on a pencil and speaking with it in her mouth."
"51" "140" "It was hard to tell whether she was saying just s or sh. I enjoyed this survey!" "No"
"52" "142" "" "The pen in her mouth was a bit distracting."
"53" "143" "" "She was always fiddling with her pen."
"54" "144" "No issues, thank you." "Nothing odd"
"55" "147" "" "holdin  a pen in or near her mouth often"
"56" "148" "" ""
"57" "149" "" ""
"58" "150" "No comment." "Sometimes the words said didn't seem to match the mouth movements."
"59" "153" "" "they seemed bored mostly, though it was probably an affectation that they used to mask their recognization of some words"
"60" "154" "" "Just that they were talking with the pen in their mouth sometimes."
"61" "155" "None." "No."
"62" "156" "" "Sometimes they had the pen in their mouth and sometimes not."
"63" "157" "Sometimes the speaker's \"S\" sounded like \"SH\" but not always." "I wondered if they were actually saying the words I was hearing."
"64" "158" "" "I didn't notice anything odd about the person."
