workerid,proliferate.condition,practEnforcePerfection,error
315,condition=M&label=S&respKeyExp=1&respKeyTest=0,F,
384,condition=M&label=S&respKeyExp=1&respKeyTest=0,F,
211,condition=M&label=S&respKeyExp=1&respKeyTest=0,F,
222,condition=M&label=S&respKeyExp=1&respKeyTest=0,F,
193,condition=M&label=S&respKeyExp=1&respKeyTest=0,F,
328,condition=H&label=SH&respKeyExp=1&respKeyTest=0,F,
457,condition=H&label=SH&respKeyExp=1&respKeyTest=0,F,
90,condition=H&label=SH&respKeyExp=1&respKeyTest=0,F,
86,condition=H&label=SH&respKeyExp=1&respKeyTest=0,F,
364,condition=H&label=SH&respKeyExp=1&respKeyTest=0,F,
142,condition=H&label=SH&respKeyExp=1&respKeyTest=0,F,
157,condition=H&label=SH&respKeyExp=1&respKeyTest=0,F,
98,condition=H&label=SH&respKeyExp=1&respKeyTest=0,F,
137,condition=H&label=SH&respKeyExp=1&respKeyTest=0,F,
344,condition=H&label=SH&respKeyExp=1&respKeyTest=0,F,
276,condition=H&label=SH&respKeyExp=1&respKeyTest=0,F,
400,condition=H&label=SH&respKeyExp=1&respKeyTest=0,F,
149,condition=H&label=SH&respKeyExp=1&respKeyTest=0,F,
103,condition=H&label=SH&respKeyExp=1&respKeyTest=0,F,
74,condition=H&label=SH&respKeyExp=1&respKeyTest=0,F,
459,condition=H&label=SH&respKeyExp=1&respKeyTest=0,F,
204,condition=M&label=S&respKeyExp=0&respKeyTest=0,F,
363,condition=M&label=S&respKeyExp=0&respKeyTest=0,F,
379,condition=M&label=S&respKeyExp=0&respKeyTest=0,F,
221,condition=M&label=S&respKeyExp=0&respKeyTest=0,F,
166,condition=M&label=S&respKeyExp=0&respKeyTest=0,F,
291,condition=M&label=S&respKeyExp=0&respKeyTest=0,F,
275,condition=M&label=S&respKeyExp=0&respKeyTest=0,F,
443,condition=M&label=S&respKeyExp=0&respKeyTest=0,F,
231,condition=M&label=S&respKeyExp=0&respKeyTest=0,F,
262,condition=M&label=S&respKeyExp=0&respKeyTest=0,F,
198,condition=M&label=S&respKeyExp=0&respKeyTest=0,F,
202,condition=M&label=S&respKeyExp=0&respKeyTest=0,F,
172,condition=M&label=S&respKeyExp=0&respKeyTest=0,F,
232,condition=M&label=S&respKeyExp=0&respKeyTest=0,F,
399,condition=M&label=S&respKeyExp=0&respKeyTest=0,F,
383,condition=H&label=S&respKeyExp=0&respKeyTest=1,F,
306,condition=H&label=S&respKeyExp=0&respKeyTest=1,F,
73,condition=H&label=S&respKeyExp=0&respKeyTest=1,F,
454,condition=H&label=S&respKeyExp=0&respKeyTest=1,F,
421,condition=H&label=S&respKeyExp=0&respKeyTest=1,F,
118,condition=H&label=S&respKeyExp=0&respKeyTest=1,F,
89,condition=H&label=S&respKeyExp=0&respKeyTest=1,F,
342,condition=H&label=S&respKeyExp=0&respKeyTest=1,F,
290,condition=H&label=S&respKeyExp=0&respKeyTest=1,F,
274,condition=H&label=S&respKeyExp=0&respKeyTest=1,F,
94,condition=H&label=S&respKeyExp=0&respKeyTest=1,F,
404,condition=H&label=S&respKeyExp=0&respKeyTest=1,F,
107,condition=H&label=S&respKeyExp=0&respKeyTest=1,F,
97,condition=H&label=S&respKeyExp=0&respKeyTest=1,F,
155,condition=H&label=S&respKeyExp=0&respKeyTest=1,F,
147,condition=H&label=S&respKeyExp=0&respKeyTest=1,F,
187,condition=M&label=S&respKeyExp=0&respKeyTest=1,F,
179,condition=M&label=S&respKeyExp=0&respKeyTest=1,F,
420,condition=M&label=S&respKeyExp=0&respKeyTest=1,F,
341,condition=M&label=S&respKeyExp=0&respKeyTest=1,F,
260,condition=M&label=S&respKeyExp=0&respKeyTest=1,F,
182,condition=M&label=S&respKeyExp=0&respKeyTest=1,F,
382,condition=M&label=S&respKeyExp=0&respKeyTest=1,F,
376,condition=M&label=S&respKeyExp=0&respKeyTest=1,F,
453,condition=M&label=S&respKeyExp=0&respKeyTest=1,F,
240,condition=M&label=S&respKeyExp=0&respKeyTest=1,F,
176,condition=M&label=S&respKeyExp=0&respKeyTest=1,F,
305,condition=M&label=S&respKeyExp=0&respKeyTest=1,F,
289,condition=M&label=S&respKeyExp=0&respKeyTest=1,F,
230,condition=M&label=S&respKeyExp=0&respKeyTest=1,F,
248,condition=M&label=S&respKeyExp=0&respKeyTest=1,F,
170,condition=M&label=S&respKeyExp=0&respKeyTest=1,F,
169,condition=M&label=SH&respKeyExp=0&respKeyTest=0,F,
209,condition=M&label=SH&respKeyExp=0&respKeyTest=0,F,
321,condition=M&label=SH&respKeyExp=0&respKeyTest=0,F,
188,condition=M&label=SH&respKeyExp=0&respKeyTest=0,F,
175,condition=M&label=SH&respKeyExp=0&respKeyTest=0,F,
398,condition=M&label=SH&respKeyExp=0&respKeyTest=0,F,
451,condition=M&label=SH&respKeyExp=0&respKeyTest=0,F,
323,condition=M&label=SH&respKeyExp=0&respKeyTest=0,F,
181,condition=M&label=SH&respKeyExp=0&respKeyTest=0,F,
325,condition=M&label=SH&respKeyExp=0&respKeyTest=0,F,
442,condition=M&label=SH&respKeyExp=0&respKeyTest=0,F,
196,condition=M&label=SH&respKeyExp=0&respKeyTest=0,F,
456,condition=M&label=SH&respKeyExp=0&respKeyTest=0,F,
194,condition=M&label=SH&respKeyExp=0&respKeyTest=0,F,
288,condition=M&label=SH&respKeyExp=0&respKeyTest=0,F,
214,condition=M&label=SH&respKeyExp=0&respKeyTest=0,F,
369,condition=M&label=SH&respKeyExp=0&respKeyTest=1,F,
303,condition=M&label=SH&respKeyExp=0&respKeyTest=1,F,
178,condition=M&label=SH&respKeyExp=0&respKeyTest=1,F,
227,condition=M&label=SH&respKeyExp=0&respKeyTest=1,F,
241,condition=M&label=SH&respKeyExp=0&respKeyTest=1,F,
201,condition=M&label=SH&respKeyExp=0&respKeyTest=1,F,
168,condition=M&label=SH&respKeyExp=0&respKeyTest=1,F,
449,condition=M&label=SH&respKeyExp=0&respKeyTest=1,F,
218,condition=M&label=SH&respKeyExp=0&respKeyTest=1,F,
271,condition=M&label=SH&respKeyExp=0&respKeyTest=1,F,
197,condition=M&label=SH&respKeyExp=0&respKeyTest=1,F,
378,condition=M&label=SH&respKeyExp=0&respKeyTest=1,F,
208,condition=M&label=SH&respKeyExp=0&respKeyTest=1,F,
433,condition=M&label=SH&respKeyExp=0&respKeyTest=1,F,
213,condition=M&label=SH&respKeyExp=0&respKeyTest=1,F,
287,condition=M&label=SH&respKeyExp=0&respKeyTest=1,F,
186,condition=M&label=SH&respKeyExp=1&respKeyTest=1,F,
375,condition=M&label=SH&respKeyExp=1&respKeyTest=1,F,
380,condition=M&label=SH&respKeyExp=1&respKeyTest=1,F,
236,condition=M&label=SH&respKeyExp=1&respKeyTest=1,F,
361,condition=M&label=SH&respKeyExp=1&respKeyTest=1,F,
245,condition=M&label=SH&respKeyExp=1&respKeyTest=1,F,
229,condition=M&label=SH&respKeyExp=1&respKeyTest=1,F,
462,condition=M&label=SH&respKeyExp=1&respKeyTest=1,F,
247,condition=M&label=SH&respKeyExp=1&respKeyTest=1,F,
184,condition=M&label=SH&respKeyExp=1&respKeyTest=1,F,
463,condition=M&label=SH&respKeyExp=1&respKeyTest=1,F,
177,condition=M&label=SH&respKeyExp=1&respKeyTest=1,F,
416,condition=M&label=SH&respKeyExp=1&respKeyTest=1,F,
286,condition=M&label=SH&respKeyExp=1&respKeyTest=1,F,
235,condition=M&label=SH&respKeyExp=1&respKeyTest=1,F,
161,condition=M&label=SH&respKeyExp=1&respKeyTest=1,F,
239,condition=M&label=SH&respKeyExp=1&respKeyTest=1,F,
158,condition=H&label=SH&respKeyExp=0&respKeyTest=0,F,
85,condition=H&label=SH&respKeyExp=0&respKeyTest=0,F,
128,condition=H&label=SH&respKeyExp=0&respKeyTest=0,F,
285,condition=H&label=SH&respKeyExp=0&respKeyTest=0,F,
72,condition=H&label=SH&respKeyExp=0&respKeyTest=0,F,
114,condition=H&label=SH&respKeyExp=0&respKeyTest=0,F,
415,condition=H&label=SH&respKeyExp=0&respKeyTest=0,F,
438,condition=H&label=SH&respKeyExp=0&respKeyTest=0,F,
123,condition=H&label=SH&respKeyExp=0&respKeyTest=0,F,
258,condition=H&label=SH&respKeyExp=0&respKeyTest=0,F,
270,condition=H&label=SH&respKeyExp=0&respKeyTest=0,F,
139,condition=H&label=SH&respKeyExp=0&respKeyTest=0,F,
360,condition=H&label=SH&respKeyExp=0&respKeyTest=0,F,
409,condition=H&label=SH&respKeyExp=0&respKeyTest=0,F,
87,condition=H&label=SH&respKeyExp=0&respKeyTest=0,F,
348,condition=H&label=SH&respKeyExp=0&respKeyTest=0,F,
122,condition=H&label=S&respKeyExp=0&respKeyTest=0,F,
113,condition=H&label=S&respKeyExp=0&respKeyTest=0,F,
429,condition=H&label=S&respKeyExp=0&respKeyTest=0,F,
414,condition=H&label=S&respKeyExp=0&respKeyTest=0,F,
65,condition=H&label=S&respKeyExp=0&respKeyTest=0,F,
66,condition=H&label=S&respKeyExp=0&respKeyTest=0,F,
284,condition=H&label=S&respKeyExp=0&respKeyTest=0,F,
154,condition=H&label=S&respKeyExp=0&respKeyTest=0,F,
92,condition=H&label=S&respKeyExp=0&respKeyTest=0,F,
394,condition=H&label=S&respKeyExp=0&respKeyTest=0,F,
133,condition=H&label=S&respKeyExp=0&respKeyTest=0,F,
316,condition=H&label=S&respKeyExp=0&respKeyTest=0,F,
436,condition=H&label=S&respKeyExp=0&respKeyTest=0,F,
333,condition=H&label=S&respKeyExp=0&respKeyTest=0,F,
125,condition=H&label=S&respKeyExp=0&respKeyTest=0,F,
320,condition=H&label=S&respKeyExp=0&respKeyTest=0,F,
336,condition=H&label=S&respKeyExp=0&respKeyTest=0,F,
203,condition=M&label=S&respKeyExp=1&respKeyTest=1,F,
367,condition=M&label=S&respKeyExp=1&respKeyTest=1,F,
167,condition=M&label=S&respKeyExp=1&respKeyTest=1,F,
314,condition=M&label=S&respKeyExp=1&respKeyTest=1,F,
195,condition=M&label=S&respKeyExp=1&respKeyTest=1,F,
174,condition=M&label=S&respKeyExp=1&respKeyTest=1,F,
412,condition=M&label=S&respKeyExp=1&respKeyTest=1,F,
251,condition=M&label=S&respKeyExp=1&respKeyTest=1,F,
317,condition=M&label=S&respKeyExp=1&respKeyTest=1,F,
165,condition=M&label=S&respKeyExp=1&respKeyTest=1,F,
425,condition=M&label=S&respKeyExp=1&respKeyTest=1,F,
439,condition=M&label=S&respKeyExp=1&respKeyTest=1,F,
318,condition=M&label=S&respKeyExp=1&respKeyTest=1,F,
223,condition=M&label=S&respKeyExp=1&respKeyTest=1,F,
283,condition=M&label=S&respKeyExp=1&respKeyTest=1,F,
246,condition=M&label=S&respKeyExp=1&respKeyTest=1,F,
