workerid,proliferate.condition,platform,error
166,condition=M&label=S&respKeyExp=0&respKeyTest=0,prolific,
291,condition=M&label=S&respKeyExp=0&respKeyTest=0,prolific,
275,condition=M&label=S&respKeyExp=0&respKeyTest=0,prolific,
443,condition=M&label=S&respKeyExp=0&respKeyTest=0,prolific,
231,condition=M&label=S&respKeyExp=0&respKeyTest=0,prolific,
262,condition=M&label=S&respKeyExp=0&respKeyTest=0,prolific,
198,condition=M&label=S&respKeyExp=0&respKeyTest=0,prolific,
202,condition=M&label=S&respKeyExp=0&respKeyTest=0,prolific,
172,condition=M&label=S&respKeyExp=0&respKeyTest=0,prolific,
232,condition=M&label=S&respKeyExp=0&respKeyTest=0,prolific,
399,condition=M&label=S&respKeyExp=0&respKeyTest=0,prolific,
383,condition=H&label=S&respKeyExp=0&respKeyTest=1,prolific,
306,condition=H&label=S&respKeyExp=0&respKeyTest=1,prolific,
73,condition=H&label=S&respKeyExp=0&respKeyTest=1,prolific,
454,condition=H&label=S&respKeyExp=0&respKeyTest=1,prolific,
421,condition=H&label=S&respKeyExp=0&respKeyTest=1,prolific,
118,condition=H&label=S&respKeyExp=0&respKeyTest=1,prolific,
89,condition=H&label=S&respKeyExp=0&respKeyTest=1,prolific,
342,condition=H&label=S&respKeyExp=0&respKeyTest=1,prolific,
290,condition=H&label=S&respKeyExp=0&respKeyTest=1,prolific,
274,condition=H&label=S&respKeyExp=0&respKeyTest=1,prolific,
94,condition=H&label=S&respKeyExp=0&respKeyTest=1,prolific,
404,condition=H&label=S&respKeyExp=0&respKeyTest=1,prolific,
107,condition=H&label=S&respKeyExp=0&respKeyTest=1,prolific,
97,condition=H&label=S&respKeyExp=0&respKeyTest=1,prolific,
155,condition=H&label=S&respKeyExp=0&respKeyTest=1,prolific,
147,condition=H&label=S&respKeyExp=0&respKeyTest=1,prolific,
187,condition=M&label=S&respKeyExp=0&respKeyTest=1,prolific,
179,condition=M&label=S&respKeyExp=0&respKeyTest=1,prolific,
420,condition=M&label=S&respKeyExp=0&respKeyTest=1,prolific,
341,condition=M&label=S&respKeyExp=0&respKeyTest=1,prolific,
260,condition=M&label=S&respKeyExp=0&respKeyTest=1,prolific,
182,condition=M&label=S&respKeyExp=0&respKeyTest=1,prolific,
382,condition=M&label=S&respKeyExp=0&respKeyTest=1,prolific,
376,condition=M&label=S&respKeyExp=0&respKeyTest=1,prolific,
453,condition=M&label=S&respKeyExp=0&respKeyTest=1,prolific,
240,condition=M&label=S&respKeyExp=0&respKeyTest=1,prolific,
176,condition=M&label=S&respKeyExp=0&respKeyTest=1,prolific,
305,condition=M&label=S&respKeyExp=0&respKeyTest=1,prolific,
289,condition=M&label=S&respKeyExp=0&respKeyTest=1,prolific,
230,condition=M&label=S&respKeyExp=0&respKeyTest=1,prolific,
248,condition=M&label=S&respKeyExp=0&respKeyTest=1,prolific,
170,condition=M&label=S&respKeyExp=0&respKeyTest=1,prolific,
169,condition=M&label=SH&respKeyExp=0&respKeyTest=0,prolific,
209,condition=M&label=SH&respKeyExp=0&respKeyTest=0,prolific,
321,condition=M&label=SH&respKeyExp=0&respKeyTest=0,prolific,
188,condition=M&label=SH&respKeyExp=0&respKeyTest=0,prolific,
175,condition=M&label=SH&respKeyExp=0&respKeyTest=0,prolific,
398,condition=M&label=SH&respKeyExp=0&respKeyTest=0,prolific,
451,condition=M&label=SH&respKeyExp=0&respKeyTest=0,prolific,
323,condition=M&label=SH&respKeyExp=0&respKeyTest=0,prolific,
181,condition=M&label=SH&respKeyExp=0&respKeyTest=0,prolific,
325,condition=M&label=SH&respKeyExp=0&respKeyTest=0,prolific,
442,condition=M&label=SH&respKeyExp=0&respKeyTest=0,prolific,
196,condition=M&label=SH&respKeyExp=0&respKeyTest=0,prolific,
456,condition=M&label=SH&respKeyExp=0&respKeyTest=0,prolific,
194,condition=M&label=SH&respKeyExp=0&respKeyTest=0,prolific,
288,condition=M&label=SH&respKeyExp=0&respKeyTest=0,prolific,
214,condition=M&label=SH&respKeyExp=0&respKeyTest=0,prolific,
369,condition=M&label=SH&respKeyExp=0&respKeyTest=1,prolific,
303,condition=M&label=SH&respKeyExp=0&respKeyTest=1,prolific,
178,condition=M&label=SH&respKeyExp=0&respKeyTest=1,prolific,
227,condition=M&label=SH&respKeyExp=0&respKeyTest=1,prolific,
241,condition=M&label=SH&respKeyExp=0&respKeyTest=1,prolific,
201,condition=M&label=SH&respKeyExp=0&respKeyTest=1,prolific,
168,condition=M&label=SH&respKeyExp=0&respKeyTest=1,prolific,
449,condition=M&label=SH&respKeyExp=0&respKeyTest=1,prolific,
218,condition=M&label=SH&respKeyExp=0&respKeyTest=1,prolific,
271,condition=M&label=SH&respKeyExp=0&respKeyTest=1,prolific,
197,condition=M&label=SH&respKeyExp=0&respKeyTest=1,prolific,
378,condition=M&label=SH&respKeyExp=0&respKeyTest=1,prolific,
208,condition=M&label=SH&respKeyExp=0&respKeyTest=1,prolific,
433,condition=M&label=SH&respKeyExp=0&respKeyTest=1,prolific,
213,condition=M&label=SH&respKeyExp=0&respKeyTest=1,prolific,
287,condition=M&label=SH&respKeyExp=0&respKeyTest=1,prolific,
186,condition=M&label=SH&respKeyExp=1&respKeyTest=1,prolific,
375,condition=M&label=SH&respKeyExp=1&respKeyTest=1,prolific,
380,condition=M&label=SH&respKeyExp=1&respKeyTest=1,prolific,
236,condition=M&label=SH&respKeyExp=1&respKeyTest=1,prolific,
361,condition=M&label=SH&respKeyExp=1&respKeyTest=1,prolific,
245,condition=M&label=SH&respKeyExp=1&respKeyTest=1,prolific,
229,condition=M&label=SH&respKeyExp=1&respKeyTest=1,prolific,
462,condition=M&label=SH&respKeyExp=1&respKeyTest=1,prolific,
247,condition=M&label=SH&respKeyExp=1&respKeyTest=1,prolific,
184,condition=M&label=SH&respKeyExp=1&respKeyTest=1,prolific,
463,condition=M&label=SH&respKeyExp=1&respKeyTest=1,prolific,
177,condition=M&label=SH&respKeyExp=1&respKeyTest=1,prolific,
416,condition=M&label=SH&respKeyExp=1&respKeyTest=1,prolific,
286,condition=M&label=SH&respKeyExp=1&respKeyTest=1,prolific,
235,condition=M&label=SH&respKeyExp=1&respKeyTest=1,prolific,
161,condition=M&label=SH&respKeyExp=1&respKeyTest=1,prolific,
239,condition=M&label=SH&respKeyExp=1&respKeyTest=1,prolific,
158,condition=H&label=SH&respKeyExp=0&respKeyTest=0,prolific,
85,condition=H&label=SH&respKeyExp=0&respKeyTest=0,prolific,
128,condition=H&label=SH&respKeyExp=0&respKeyTest=0,prolific,
285,condition=H&label=SH&respKeyExp=0&respKeyTest=0,prolific,
72,condition=H&label=SH&respKeyExp=0&respKeyTest=0,prolific,
114,condition=H&label=SH&respKeyExp=0&respKeyTest=0,prolific,
415,condition=H&label=SH&respKeyExp=0&respKeyTest=0,prolific,
438,condition=H&label=SH&respKeyExp=0&respKeyTest=0,prolific,
123,condition=H&label=SH&respKeyExp=0&respKeyTest=0,prolific,
258,condition=H&label=SH&respKeyExp=0&respKeyTest=0,prolific,
270,condition=H&label=SH&respKeyExp=0&respKeyTest=0,prolific,
139,condition=H&label=SH&respKeyExp=0&respKeyTest=0,prolific,
360,condition=H&label=SH&respKeyExp=0&respKeyTest=0,prolific,
409,condition=H&label=SH&respKeyExp=0&respKeyTest=0,prolific,
87,condition=H&label=SH&respKeyExp=0&respKeyTest=0,prolific,
348,condition=H&label=SH&respKeyExp=0&respKeyTest=0,prolific,
122,condition=H&label=S&respKeyExp=0&respKeyTest=0,prolific,
113,condition=H&label=S&respKeyExp=0&respKeyTest=0,prolific,
429,condition=H&label=S&respKeyExp=0&respKeyTest=0,prolific,
414,condition=H&label=S&respKeyExp=0&respKeyTest=0,prolific,
65,condition=H&label=S&respKeyExp=0&respKeyTest=0,prolific,
66,condition=H&label=S&respKeyExp=0&respKeyTest=0,prolific,
284,condition=H&label=S&respKeyExp=0&respKeyTest=0,prolific,
154,condition=H&label=S&respKeyExp=0&respKeyTest=0,prolific,
92,condition=H&label=S&respKeyExp=0&respKeyTest=0,prolific,
394,condition=H&label=S&respKeyExp=0&respKeyTest=0,prolific,
133,condition=H&label=S&respKeyExp=0&respKeyTest=0,prolific,
316,condition=H&label=S&respKeyExp=0&respKeyTest=0,prolific,
436,condition=H&label=S&respKeyExp=0&respKeyTest=0,prolific,
333,condition=H&label=S&respKeyExp=0&respKeyTest=0,prolific,
125,condition=H&label=S&respKeyExp=0&respKeyTest=0,prolific,
320,condition=H&label=S&respKeyExp=0&respKeyTest=0,prolific,
336,condition=H&label=S&respKeyExp=0&respKeyTest=0,prolific,
203,condition=M&label=S&respKeyExp=1&respKeyTest=1,prolific,
367,condition=M&label=S&respKeyExp=1&respKeyTest=1,prolific,
167,condition=M&label=S&respKeyExp=1&respKeyTest=1,prolific,
314,condition=M&label=S&respKeyExp=1&respKeyTest=1,prolific,
195,condition=M&label=S&respKeyExp=1&respKeyTest=1,prolific,
174,condition=M&label=S&respKeyExp=1&respKeyTest=1,prolific,
412,condition=M&label=S&respKeyExp=1&respKeyTest=1,prolific,
251,condition=M&label=S&respKeyExp=1&respKeyTest=1,prolific,
317,condition=M&label=S&respKeyExp=1&respKeyTest=1,prolific,
165,condition=M&label=S&respKeyExp=1&respKeyTest=1,prolific,
425,condition=M&label=S&respKeyExp=1&respKeyTest=1,prolific,
439,condition=M&label=S&respKeyExp=1&respKeyTest=1,prolific,
318,condition=M&label=S&respKeyExp=1&respKeyTest=1,prolific,
223,condition=M&label=S&respKeyExp=1&respKeyTest=1,prolific,
283,condition=M&label=S&respKeyExp=1&respKeyTest=1,prolific,
246,condition=M&label=S&respKeyExp=1&respKeyTest=1,prolific,
