workerid,proliferate.condition,sex,error
94,condition=H&label=S&respKeyExp=0&respKeyTest=1,woman,
404,condition=H&label=S&respKeyExp=0&respKeyTest=1,woman,
107,condition=H&label=S&respKeyExp=0&respKeyTest=1,woman,
97,condition=H&label=S&respKeyExp=0&respKeyTest=1,woman,
155,condition=H&label=S&respKeyExp=0&respKeyTest=1,woman,
147,condition=H&label=S&respKeyExp=0&respKeyTest=1,woman,
187,condition=M&label=S&respKeyExp=0&respKeyTest=1,woman,
179,condition=M&label=S&respKeyExp=0&respKeyTest=1,woman,
420,condition=M&label=S&respKeyExp=0&respKeyTest=1,woman,
341,condition=M&label=S&respKeyExp=0&respKeyTest=1,woman,
260,condition=M&label=S&respKeyExp=0&respKeyTest=1,woman,
182,condition=M&label=S&respKeyExp=0&respKeyTest=1,woman,
382,condition=M&label=S&respKeyExp=0&respKeyTest=1,woman,
376,condition=M&label=S&respKeyExp=0&respKeyTest=1,woman,
453,condition=M&label=S&respKeyExp=0&respKeyTest=1,woman,
240,condition=M&label=S&respKeyExp=0&respKeyTest=1,woman,
176,condition=M&label=S&respKeyExp=0&respKeyTest=1,woman,
305,condition=M&label=S&respKeyExp=0&respKeyTest=1,woman,
289,condition=M&label=S&respKeyExp=0&respKeyTest=1,woman,
230,condition=M&label=S&respKeyExp=0&respKeyTest=1,woman,
248,condition=M&label=S&respKeyExp=0&respKeyTest=1,woman,
170,condition=M&label=S&respKeyExp=0&respKeyTest=1,woman,
169,condition=M&label=SH&respKeyExp=0&respKeyTest=0,woman,
209,condition=M&label=SH&respKeyExp=0&respKeyTest=0,woman,
321,condition=M&label=SH&respKeyExp=0&respKeyTest=0,woman,
188,condition=M&label=SH&respKeyExp=0&respKeyTest=0,woman,
175,condition=M&label=SH&respKeyExp=0&respKeyTest=0,woman,
398,condition=M&label=SH&respKeyExp=0&respKeyTest=0,woman,
451,condition=M&label=SH&respKeyExp=0&respKeyTest=0,woman,
323,condition=M&label=SH&respKeyExp=0&respKeyTest=0,woman,
181,condition=M&label=SH&respKeyExp=0&respKeyTest=0,woman,
325,condition=M&label=SH&respKeyExp=0&respKeyTest=0,woman,
442,condition=M&label=SH&respKeyExp=0&respKeyTest=0,woman,
196,condition=M&label=SH&respKeyExp=0&respKeyTest=0,woman,
456,condition=M&label=SH&respKeyExp=0&respKeyTest=0,woman,
194,condition=M&label=SH&respKeyExp=0&respKeyTest=0,woman,
288,condition=M&label=SH&respKeyExp=0&respKeyTest=0,woman,
214,condition=M&label=SH&respKeyExp=0&respKeyTest=0,woman,
369,condition=M&label=SH&respKeyExp=0&respKeyTest=1,woman,
303,condition=M&label=SH&respKeyExp=0&respKeyTest=1,woman,
178,condition=M&label=SH&respKeyExp=0&respKeyTest=1,woman,
227,condition=M&label=SH&respKeyExp=0&respKeyTest=1,woman,
241,condition=M&label=SH&respKeyExp=0&respKeyTest=1,woman,
201,condition=M&label=SH&respKeyExp=0&respKeyTest=1,woman,
168,condition=M&label=SH&respKeyExp=0&respKeyTest=1,woman,
449,condition=M&label=SH&respKeyExp=0&respKeyTest=1,woman,
218,condition=M&label=SH&respKeyExp=0&respKeyTest=1,woman,
271,condition=M&label=SH&respKeyExp=0&respKeyTest=1,woman,
197,condition=M&label=SH&respKeyExp=0&respKeyTest=1,woman,
378,condition=M&label=SH&respKeyExp=0&respKeyTest=1,woman,
208,condition=M&label=SH&respKeyExp=0&respKeyTest=1,woman,
433,condition=M&label=SH&respKeyExp=0&respKeyTest=1,woman,
213,condition=M&label=SH&respKeyExp=0&respKeyTest=1,woman,
287,condition=M&label=SH&respKeyExp=0&respKeyTest=1,woman,
186,condition=M&label=SH&respKeyExp=1&respKeyTest=1,woman,
375,condition=M&label=SH&respKeyExp=1&respKeyTest=1,woman,
380,condition=M&label=SH&respKeyExp=1&respKeyTest=1,woman,
236,condition=M&label=SH&respKeyExp=1&respKeyTest=1,woman,
361,condition=M&label=SH&respKeyExp=1&respKeyTest=1,woman,
245,condition=M&label=SH&respKeyExp=1&respKeyTest=1,woman,
229,condition=M&label=SH&respKeyExp=1&respKeyTest=1,woman,
462,condition=M&label=SH&respKeyExp=1&respKeyTest=1,woman,
247,condition=M&label=SH&respKeyExp=1&respKeyTest=1,woman,
184,condition=M&label=SH&respKeyExp=1&respKeyTest=1,woman,
463,condition=M&label=SH&respKeyExp=1&respKeyTest=1,woman,
177,condition=M&label=SH&respKeyExp=1&respKeyTest=1,woman,
416,condition=M&label=SH&respKeyExp=1&respKeyTest=1,woman,
286,condition=M&label=SH&respKeyExp=1&respKeyTest=1,woman,
235,condition=M&label=SH&respKeyExp=1&respKeyTest=1,woman,
161,condition=M&label=SH&respKeyExp=1&respKeyTest=1,woman,
239,condition=M&label=SH&respKeyExp=1&respKeyTest=1,woman,
158,condition=H&label=SH&respKeyExp=0&respKeyTest=0,woman,
85,condition=H&label=SH&respKeyExp=0&respKeyTest=0,woman,
128,condition=H&label=SH&respKeyExp=0&respKeyTest=0,woman,
285,condition=H&label=SH&respKeyExp=0&respKeyTest=0,woman,
72,condition=H&label=SH&respKeyExp=0&respKeyTest=0,woman,
114,condition=H&label=SH&respKeyExp=0&respKeyTest=0,woman,
415,condition=H&label=SH&respKeyExp=0&respKeyTest=0,woman,
438,condition=H&label=SH&respKeyExp=0&respKeyTest=0,woman,
123,condition=H&label=SH&respKeyExp=0&respKeyTest=0,woman,
258,condition=H&label=SH&respKeyExp=0&respKeyTest=0,woman,
270,condition=H&label=SH&respKeyExp=0&respKeyTest=0,woman,
139,condition=H&label=SH&respKeyExp=0&respKeyTest=0,woman,
360,condition=H&label=SH&respKeyExp=0&respKeyTest=0,woman,
409,condition=H&label=SH&respKeyExp=0&respKeyTest=0,woman,
87,condition=H&label=SH&respKeyExp=0&respKeyTest=0,woman,
348,condition=H&label=SH&respKeyExp=0&respKeyTest=0,woman,
122,condition=H&label=S&respKeyExp=0&respKeyTest=0,woman,
113,condition=H&label=S&respKeyExp=0&respKeyTest=0,woman,
429,condition=H&label=S&respKeyExp=0&respKeyTest=0,woman,
414,condition=H&label=S&respKeyExp=0&respKeyTest=0,woman,
65,condition=H&label=S&respKeyExp=0&respKeyTest=0,woman,
66,condition=H&label=S&respKeyExp=0&respKeyTest=0,woman,
284,condition=H&label=S&respKeyExp=0&respKeyTest=0,woman,
154,condition=H&label=S&respKeyExp=0&respKeyTest=0,woman,
92,condition=H&label=S&respKeyExp=0&respKeyTest=0,woman,
394,condition=H&label=S&respKeyExp=0&respKeyTest=0,woman,
133,condition=H&label=S&respKeyExp=0&respKeyTest=0,woman,
316,condition=H&label=S&respKeyExp=0&respKeyTest=0,woman,
436,condition=H&label=S&respKeyExp=0&respKeyTest=0,woman,
333,condition=H&label=S&respKeyExp=0&respKeyTest=0,woman,
125,condition=H&label=S&respKeyExp=0&respKeyTest=0,woman,
320,condition=H&label=S&respKeyExp=0&respKeyTest=0,woman,
336,condition=H&label=S&respKeyExp=0&respKeyTest=0,woman,
203,condition=M&label=S&respKeyExp=1&respKeyTest=1,woman,
367,condition=M&label=S&respKeyExp=1&respKeyTest=1,woman,
167,condition=M&label=S&respKeyExp=1&respKeyTest=1,woman,
314,condition=M&label=S&respKeyExp=1&respKeyTest=1,woman,
195,condition=M&label=S&respKeyExp=1&respKeyTest=1,woman,
174,condition=M&label=S&respKeyExp=1&respKeyTest=1,woman,
412,condition=M&label=S&respKeyExp=1&respKeyTest=1,woman,
251,condition=M&label=S&respKeyExp=1&respKeyTest=1,woman,
317,condition=M&label=S&respKeyExp=1&respKeyTest=1,woman,
165,condition=M&label=S&respKeyExp=1&respKeyTest=1,woman,
425,condition=M&label=S&respKeyExp=1&respKeyTest=1,woman,
439,condition=M&label=S&respKeyExp=1&respKeyTest=1,woman,
318,condition=M&label=S&respKeyExp=1&respKeyTest=1,woman,
223,condition=M&label=S&respKeyExp=1&respKeyTest=1,woman,
283,condition=M&label=S&respKeyExp=1&respKeyTest=1,woman,
246,condition=M&label=S&respKeyExp=1&respKeyTest=1,woman,
