workerid,proliferate.condition,practiceResp,error
88,condition=H&label=SH&respKeyExp=0&respKeyTest=1,"practice,0,1,FN86H-CATCH.webm,77,non-word,1651187724381,1651187728393,4012,true,false;practice,1,0,F40H.webm,88,word,1651187739558,1651187742401,2843,false,false;practice,2,4,F4M.webm,88,word,1651187745407,1651187748080,2673,false,false;practice,3,3,F2H-CATCH.webm,88,word,1651187750424,1651187759786,9362,true,false;practice,4,2,FN6M.webm,77,non-word,1651187762889,1651187766019,3130,false,false;practice,5,5,FN1H.webm,77,non-word,1651187768585,1651187771472,2887,false,false;",
144,condition=H&label=SH&respKeyExp=0&respKeyTest=1,"practice,0,1,FN86H-CATCH.webm,88,word,1651192072329,1651192078911,6582,true,false;practice,1,0,F40H.webm,88,word,1651192090010,1651192098690,8680,false,false;practice,2,4,F4M.webm,88,word,1651192101649,1651192104746,3097,false,false;practice,3,5,FN1H.webm,77,non-word,1651192107010,1651192110698,3688,false,false;practice,4,3,F2H-CATCH.webm,66,,1651192112579,1651192113922,1343,true,true;practice,5,2,FN6M.webm,77,non-word,1651192116582,1651192119657,3075,false,false;",
117,condition=H&label=SH&respKeyExp=0&respKeyTest=1,"practice,0,2,FN6M.webm,77,non-word,1651190165780,1651190170050,4270,false,false;practice,1,3,F2H-CATCH.webm,88,word,1651190173178,1651190175729,2551,true,false;practice,2,1,FN86H-CATCH.webm,66,,1651190186748,1651190190441,3693,true,true;practice,3,0,F40H.webm,88,word,1651190193336,1651190196281,2945,false,false;practice,4,4,F4M.webm,88,word,1651190199176,1651190202345,3169,false,false;practice,5,5,FN1H.webm,77,non-word,1651190204766,1651190209281,4515,false,false;",
311,condition=H&label=SH&respKeyExp=0&respKeyTest=1,"practice,0,2,FN6M.webm,77,non-word,1651795384402,1651795390119,5717,false,false;practice,1,4,F4M.webm,88,word,1651795395264,1651795397860,2596,false,false;practice,2,3,F2H-CATCH.webm,66,,1651795400743,1651795403599,2856,true,true;practice,3,0,F40H.webm,88,word,1651795407482,1651795410467,2985,false,false;practice,4,1,FN86H-CATCH.webm,77,non-word,1651795419316,1651795422136,2820,true,false;practice,5,5,FN1H.webm,77,non-word,1651795431462,1651795434647,3185,false,false;",
393,condition=H&label=SH&respKeyExp=0&respKeyTest=1,"practice,0,3,F2H-CATCH.webm,66,,1651810764599,1651810768702,4103,true,true;practice,1,0,F40H.webm,88,word,1651810773064,1651810776360,3296,false,false;practice,2,2,FN6M.webm,77,non-word,1651810780277,1651810783023,2746,false,false;practice,3,4,F4M.webm,88,word,1651810786486,1651810790011,3525,false,false;practice,4,1,FN86H-CATCH.webm,88,word,1651810794602,1651810798982,4380,true,false;practice,5,5,FN1H.webm,66,,1651810810913,1651810815045,4132,false,true;",
79,condition=H&label=SH&respKeyExp=1&respKeyTest=1,"practice,0,3,F2H-CATCH.webm,77,word,1651179015427,1651179019715,4288,true,false;practice,1,0,F40H.webm,77,word,1651179034610,1651179039026,4416,false,false;practice,2,4,F4M.webm,77,word,1651179043218,1651179049482,6264,false,false;practice,3,5,FN1H.webm,88,non-word,1651179051457,1651179056228,4771,false,false;practice,4,1,FN86H-CATCH.webm,66,,1651179058364,1651179061246,2882,true,true;practice,5,2,FN6M.webm,88,non-word,1651179062833,1651179065633,2800,false,false;",
309,condition=H&label=SH&respKeyExp=1&respKeyTest=1,"practice,0,4,F4M.webm,77,word,1651794777261,1651794780365,3104,false,false;practice,1,2,FN6M.webm,88,non-word,1651794783061,1651794785112,2051,false,false;practice,2,3,F2H-CATCH.webm,66,,1651794787504,1651794789573,2069,true,true;practice,3,5,FN1H.webm,88,non-word,1651794791648,1651794793293,1645,false,false;practice,4,0,F40H.webm,77,word,1651794795397,1651794798617,3220,false,false;practice,5,1,FN86H-CATCH.webm,66,,1651794801369,1651794803605,2236,true,true;",
281,condition=H&label=SH&respKeyExp=1&respKeyTest=1,"practice,0,2,FN6M.webm,88,non-word,1651794038210,1651794051049,12839,false,false;practice,1,1,FN86H-CATCH.webm,66,,1651794056457,1651794060005,3548,true,true;practice,2,3,F2H-CATCH.webm,66,,1651794062124,1651794064468,2344,true,true;practice,3,0,F40H.webm,77,word,1651794067076,1651794070159,3083,false,false;practice,4,5,FN1H.webm,88,non-word,1651794072156,1651794075788,3632,false,false;practice,5,4,F4M.webm,77,word,1651794077740,1651794080583,2843,false,false;",
255,condition=H&label=SH&respKeyExp=1&respKeyTest=1,"practice,0,4,F4M.webm,77,word,1651794171925,1651794181521,9596,false,false;practice,1,5,FN1H.webm,88,non-word,1651794199227,1651794202864,3637,false,false;practice,2,0,F40H.webm,77,word,1651794208537,1651794212712,4175,false,false;practice,3,3,F2H-CATCH.webm,66,,1651794216331,1651794221664,5333,true,true;practice,4,1,FN86H-CATCH.webm,66,,1651794225532,1651794228704,3172,true,true;practice,5,2,FN6M.webm,88,non-word,1651794232731,1651794236288,3557,false,false;",
116,condition=H&label=SH&respKeyExp=1&respKeyTest=1,"practice,0,5,FN1H.webm,88,non-word,1651189908725,1651189915549,6824,false,false;practice,1,1,FN86H-CATCH.webm,88,non-word,1651189922216,1651189925600,3384,true,false;practice,2,2,FN6M.webm,88,non-word,1651189932646,1651189936829,4183,false,false;practice,3,3,F2H-CATCH.webm,66,,1651189939840,1651189944965,5125,true,true;practice,4,4,F4M.webm,77,word,1651189948006,1651189951456,3450,false,false;practice,5,0,F40H.webm,77,word,1651189954135,1651189957232,3097,false,false;",
112,condition=H&label=SH&respKeyExp=1&respKeyTest=1,"practice,0,3,F2H-CATCH.webm,77,word,1651189794524,1651189800660,6136,true,false;practice,1,0,F40H.webm,77,word,1651189813461,1651189816745,3284,false,false;practice,2,5,FN1H.webm,88,non-word,1651189822072,1651189825551,3479,false,false;practice,3,4,F4M.webm,77,word,1651189829063,1651189832421,3358,false,false;practice,4,1,FN86H-CATCH.webm,66,,1651189836360,1651189840896,4536,true,true;practice,5,2,FN6M.webm,66,,1651189844138,1651189848542,4404,false,true;",
105,condition=H&label=SH&respKeyExp=1&respKeyTest=1,"practice,0,1,FN86H-CATCH.webm,77,word,1651189414336,1651189420303,5967,true,false;practice,1,4,F4M.webm,77,word,1651189432121,1651189437523,5402,false,false;practice,2,0,F40H.webm,77,word,1651189441784,1651189445639,3855,false,false;practice,3,2,FN6M.webm,88,non-word,1651189448793,1651189452586,3793,false,false;practice,4,3,F2H-CATCH.webm,66,,1651189455208,1651189458037,2829,true,true;practice,5,5,FN1H.webm,88,non-word,1651189461573,1651189464633,3060,false,false;",
452,condition=H&label=SH&respKeyExp=1&respKeyTest=1,"practice,0,3,F2H-CATCH.webm,88,non-word,1651852725330,1651852745648,20318,true,false;practice,1,2,FN6M.webm,88,non-word,1651852760950,1651852767415,6465,false,false;practice,2,4,F4M.webm,77,word,1651852772621,1651852778405,5784,false,false;practice,3,1,FN86H-CATCH.webm,66,,1651852786279,1651852791110,4831,true,true;practice,4,5,FN1H.webm,88,non-word,1651852794358,1651852801094,6736,false,false;practice,5,0,F40H.webm,77,word,1651852804969,1651852810565,5596,false,false;",
249,condition=H&label=SH&respKeyExp=1&respKeyTest=1,"practice,0,4,F4M.webm,77,word,1651793843832,1651793849836,6004,false,false;practice,1,1,FN86H-CATCH.webm,88,non-word,1651793855174,1651793860225,5051,true,false;practice,2,5,FN1H.webm,88,non-word,1651793872750,1651793880176,7426,false,false;practice,3,0,F40H.webm,77,word,1651793882566,1651793887325,4759,false,false;practice,4,3,F2H-CATCH.webm,66,,1651793889724,1651793894571,4847,true,true;practice,5,2,FN6M.webm,88,non-word,1651793897295,1651793902347,5052,false,false;",
406,condition=H&label=SH&respKeyExp=1&respKeyTest=1,"practice,0,2,FN6M.webm,88,non-word,1651811302715,1651811311749,9034,false,false;practice,1,0,F40H.webm,77,word,1651811316894,1651811319810,2916,false,false;practice,2,3,F2H-CATCH.webm,77,word,1651811322112,1651811328982,6870,true,false;practice,3,1,FN86H-CATCH.webm,66,,1651811353606,1651811356615,3009,true,true;practice,4,5,FN1H.webm,88,non-word,1651811359644,1651811363476,3832,false,false;practice,5,4,F4M.webm,77,word,1651811366778,1651811369062,2284,false,false;",
297,condition=H&label=SH&respKeyExp=1&respKeyTest=1,"practice,0,4,F4M.webm,77,word,1651794031765,1651794040845,9080,false,false;practice,1,0,F40H.webm,77,word,1651794045211,1651794047797,2586,false,false;practice,2,5,FN1H.webm,88,non-word,1651794050537,1651794053549,3012,false,false;practice,3,3,F2H-CATCH.webm,77,word,1651794056034,1651794059661,3627,true,false;practice,4,1,FN86H-CATCH.webm,66,,1651794073860,1651794075885,2025,true,true;practice,5,2,FN6M.webm,88,non-word,1651794078142,1651794084525,6383,false,false;",
156,condition=H&label=SH&respKeyExp=1&respKeyTest=1,"practice,0,0,F40H.webm,88,non-word,1651193144488,1651193148097,3609,false,false;practice,1,4,F4M.webm,77,word,1651193157496,1651193161869,4373,false,false;practice,2,5,FN1H.webm,88,non-word,1651193164182,1651193166941,2759,false,false;practice,3,3,F2H-CATCH.webm,66,,1651193169359,1651193171189,1830,true,true;practice,4,2,FN6M.webm,88,non-word,1651193173818,1651193176653,2835,false,false;practice,5,1,FN86H-CATCH.webm,66,,1651193179120,1651193180894,1774,true,true;",
124,condition=H&label=SH&respKeyExp=1&respKeyTest=1,"practice,0,2,FN6M.webm,88,non-word,1651190618131,1651190625808,7677,false,false;practice,1,1,FN86H-CATCH.webm,88,non-word,1651190634521,1651190637918,3397,true,false;practice,2,0,F40H.webm,77,word,1651190650818,1651190653907,3089,false,false;practice,3,5,FN1H.webm,88,non-word,1651190657135,1651190659973,2838,false,false;practice,4,3,F2H-CATCH.webm,66,,1651190662523,1651190664995,2472,true,true;practice,5,4,F4M.webm,77,word,1651190667891,1651190670828,2937,false,false;",
312,condition=H&label=SH&respKeyExp=1&respKeyTest=1,"practice,0,4,F4M.webm,77,word,1651794790578,1651794798064,7486,false,false;practice,1,3,F2H-CATCH.webm,77,word,1651794801567,1651794805022,3455,true,false;practice,2,1,FN86H-CATCH.webm,66,,1651794818589,1651794821566,2977,true,true;practice,3,5,FN1H.webm,88,non-word,1651794824401,1651794827663,3262,false,false;practice,4,2,FN6M.webm,88,non-word,1651794831052,1651794834188,3136,false,false;practice,5,0,F40H.webm,77,word,1651794837625,1651794839967,2342,false,false;",
392,condition=H&label=SH&respKeyExp=1&respKeyTest=1,"practice,0,1,FN86H-CATCH.webm,66,,1651810379830,1651810383158,3328,true,true;practice,1,2,FN6M.webm,88,non-word,1651810388521,1651810392893,4372,false,false;practice,2,0,F40H.webm,77,word,1651810396263,1651810398893,2630,false,false;practice,3,3,F2H-CATCH.webm,66,,1651810401544,1651810404869,3325,true,true;practice,4,5,FN1H.webm,88,non-word,1651810407464,1651810410958,3494,false,false;practice,5,4,F4M.webm,77,word,1651810413300,1651810416397,3097,false,false;",
81,condition=H&label=SH&respKeyExp=1&respKeyTest=1,"practice,0,3,F2H-CATCH.webm,66,,1651183846627,1651183850096,3469,true,true;practice,1,4,F4M.webm,77,word,1651183853950,1651183857845,3895,false,false;practice,2,2,FN6M.webm,88,non-word,1651183861048,1651183864568,3520,false,false;practice,3,1,FN86H-CATCH.webm,66,,1651183866936,1651183869634,2698,true,true;practice,4,0,F40H.webm,77,word,1651183871871,1651183874628,2757,false,false;practice,5,5,FN1H.webm,88,non-word,1651183877053,1651183880848,3795,false,false;",
280,condition=M&label=SH&respKeyExp=1&respKeyTest=0,"practice,0,1,FN86H-CATCH.webm,66,,1651794061371,1651794063560,2189,true,true;practice,1,3,F2H-CATCH.webm,77,word,1651794070006,1651794073526,3520,true,false;practice,2,5,FN1H.webm,88,non-word,1651794091296,1651794094626,3330,false,false;practice,3,0,F40H.webm,77,word,1651794098792,1651794101896,3104,false,false;practice,4,4,F4M.webm,77,word,1651794104779,1651794108513,3734,false,false;practice,5,2,FN6M.webm,88,non-word,1651794111111,1651794114045,2934,false,false;",
220,condition=M&label=SH&respKeyExp=1&respKeyTest=0,"practice,0,2,FN6M.webm,88,non-word,1651783265479,1651783270494,5015,false,false;practice,1,4,F4M.webm,77,word,1651783275557,1651783279379,3822,false,false;practice,2,1,FN86H-CATCH.webm,77,word,1651783283584,1651783288572,4988,true,false;practice,3,5,FN1H.webm,88,non-word,1651783304287,1651783307842,3555,false,false;practice,4,3,F2H-CATCH.webm,77,word,1651783311770,1651783314570,2800,true,false;practice,5,0,F40H.webm,77,word,1651783320961,1651783323131,2170,false,false;",
444,condition=M&label=SH&respKeyExp=1&respKeyTest=0,"practice,0,5,FN1H.webm,88,non-word,1651829218346,1651829229341,10995,false,false;practice,1,4,F4M.webm,77,word,1651829234923,1651829238950,4027,false,false;practice,2,1,FN86H-CATCH.webm,88,non-word,1651829244572,1651829257103,12531,true,false;practice,3,3,F2H-CATCH.webm,77,word,1651829276108,1651829280080,3972,true,false;practice,4,0,F40H.webm,77,word,1651829294008,1651829299717,5709,false,false;practice,5,2,FN6M.webm,88,non-word,1651829303101,1651829307105,4004,false,false;",
242,condition=M&label=SH&respKeyExp=1&respKeyTest=0,"practice,0,2,FN6M.webm,88,non-word,1651785043202,1651785047328,4126,false,false;practice,1,1,FN86H-CATCH.webm,77,word,1651785053663,1651785057030,3367,true,false;practice,2,3,F2H-CATCH.webm,77,word,1651785062083,1651785065348,3265,true,false;practice,3,0,F40H.webm,77,word,1651785107484,1651785111246,3762,false,false;practice,4,4,F4M.webm,77,word,1651785116033,1651785118577,2544,false,false;practice,5,5,FN1H.webm,88,non-word,1651785121671,1651785124222,2551,false,false;",
180,condition=M&label=SH&respKeyExp=1&respKeyTest=0,"practice,0,2,FN6M.webm,88,non-word,1651780545444,1651780549195,3751,false,false;practice,1,4,F4M.webm,77,word,1651780554400,1651780557710,3310,false,false;practice,2,5,FN1H.webm,66,,1651780560522,1651780568248,7726,false,true;practice,3,1,FN86H-CATCH.webm,66,,1651780576228,1651780578458,2230,true,true;practice,4,3,F2H-CATCH.webm,66,,1651780581245,1651780583549,2304,true,true;practice,5,0,F40H.webm,77,word,1651780586765,1651780590285,3520,false,false;",
200,condition=M&label=SH&respKeyExp=1&respKeyTest=0,"practice,0,2,FN6M.webm,88,non-word,1651782618691,1651782630068,11377,false,false;practice,1,1,FN86H-CATCH.webm,88,non-word,1651782634683,1651782639189,4506,true,false;practice,2,0,F40H.webm,77,word,1651782652488,1651782656320,3832,false,false;practice,3,5,FN1H.webm,88,non-word,1651782661305,1651782665518,4213,false,false;practice,4,4,F4M.webm,77,word,1651782669711,1651782673307,3596,false,false;practice,5,3,F2H-CATCH.webm,66,,1651782677225,1651782680502,3277,true,true;",
173,condition=M&label=SH&respKeyExp=1&respKeyTest=0,"practice,0,4,F4M.webm,77,word,1651779752674,1651779755501,2827,false,false;practice,1,0,F40H.webm,77,word,1651779759163,1651779761428,2265,false,false;practice,2,1,FN86H-CATCH.webm,88,non-word,1651779764483,1651779767388,2905,true,false;practice,3,2,FN6M.webm,88,non-word,1651779775523,1651779778652,3129,false,false;practice,4,5,FN1H.webm,88,non-word,1651779781103,1651779786356,5253,false,false;practice,5,3,F2H-CATCH.webm,66,,1651779788823,1651779791636,2813,true,true;",
351,condition=M&label=SH&respKeyExp=1&respKeyTest=0,"practice,0,1,FN86H-CATCH.webm,88,non-word,1651807075558,1651807079610,4052,true,false;practice,1,5,FN1H.webm,88,non-word,1651807092363,1651807095870,3507,false,false;practice,2,4,F4M.webm,77,word,1651807101121,1651807106460,5339,false,false;practice,3,0,F40H.webm,77,word,1651807109844,1651807113166,3322,false,false;practice,4,2,FN6M.webm,88,non-word,1651807115956,1651807119130,3174,false,false;practice,5,3,F2H-CATCH.webm,66,,1651807122185,1651807125381,3196,true,true;",
253,condition=M&label=SH&respKeyExp=1&respKeyTest=0,"practice,0,0,F40H.webm,77,word,1651794034650,1651794038813,4163,false,false;practice,1,4,F4M.webm,77,word,1651794042376,1651794044789,2413,false,false;practice,2,2,FN6M.webm,88,non-word,1651794046383,1651794050613,4230,false,false;practice,3,5,FN1H.webm,88,non-word,1651794052784,1651794055645,2861,false,false;practice,4,3,F2H-CATCH.webm,66,,1651794057338,1651794060661,3323,true,true;practice,5,1,FN86H-CATCH.webm,66,,1651794063649,1651794065972,2323,true,true;",
162,condition=M&label=SH&respKeyExp=1&respKeyTest=0,"practice,0,3,F2H-CATCH.webm,77,word,1651776762181,1651776766963,4782,true,false;practice,1,2,FN6M.webm,88,non-word,1651776778122,1651776782908,4786,false,false;practice,2,1,FN86H-CATCH.webm,66,,1651776787752,1651776790515,2763,true,true;practice,3,4,F4M.webm,77,word,1651776794727,1651776800528,5801,false,false;practice,4,5,FN1H.webm,88,non-word,1651776803982,1651776813298,9316,false,false;practice,5,0,F40H.webm,77,word,1651776816815,1651776821260,4445,false,false;",
265,condition=M&label=SH&respKeyExp=1&respKeyTest=0,"practice,0,4,F4M.webm,88,non-word,1651793940653,1651793948078,7425,false,false;practice,1,5,FN1H.webm,88,non-word,1651793957371,1651793961933,4562,false,false;practice,2,3,F2H-CATCH.webm,77,word,1651793971521,1651793976374,4853,true,false;practice,3,1,FN86H-CATCH.webm,66,,1651793986949,1651793994189,7240,true,true;practice,4,2,FN6M.webm,88,non-word,1651793997851,1651794001493,3642,false,false;practice,5,0,F40H.webm,77,word,1651794004683,1651794010261,5578,false,false;",
331,condition=M&label=SH&respKeyExp=1&respKeyTest=0,"practice,0,2,FN6M.webm,88,non-word,1651802267468,1651802271402,3934,false,false;practice,1,0,F40H.webm,77,word,1651802274358,1651802277659,3301,false,false;practice,2,5,FN1H.webm,88,non-word,1651802279575,1651802282309,2734,false,false;practice,3,4,F4M.webm,77,word,1651802284306,1651802286769,2463,false,false;practice,4,1,FN86H-CATCH.webm,88,non-word,1651802288472,1651802293659,5187,true,false;practice,5,3,F2H-CATCH.webm,66,,1651802301553,1651802303730,2177,true,true;",
243,condition=M&label=SH&respKeyExp=1&respKeyTest=0,"practice,0,1,FN86H-CATCH.webm,88,non-word,1651784954106,1651784962260,8154,true,false;practice,1,4,F4M.webm,77,word,1651784972726,1651784976370,3644,false,false;practice,2,3,F2H-CATCH.webm,77,word,1651784980888,1651784985249,4361,true,false;practice,3,5,FN1H.webm,88,non-word,1651784991088,1651784995122,4034,false,false;practice,4,0,F40H.webm,77,word,1651784998048,1651785001231,3183,false,false;practice,5,2,FN6M.webm,88,non-word,1651785003239,1651785006753,3514,false,false;",
326,condition=M&label=SH&respKeyExp=1&respKeyTest=0,"practice,0,3,F2H-CATCH.webm,77,word,1651800012726,1651800015644,2918,true,false;practice,1,4,F4M.webm,77,word,1651800026847,1651800030476,3629,false,false;practice,2,5,FN1H.webm,88,non-word,1651800034209,1651800038356,4147,false,false;practice,3,2,FN6M.webm,88,non-word,1651800040876,1651800044420,3544,false,false;practice,4,1,FN86H-CATCH.webm,66,,1651800047189,1651800049972,2783,true,true;practice,5,0,F40H.webm,77,word,1651800052356,1651800055589,3233,false,false;",
450,condition=M&label=SH&respKeyExp=1&respKeyTest=0,"practice,0,3,F2H-CATCH.webm,77,word,1651852482353,1651852487112,4759,true,false;practice,1,0,F40H.webm,77,word,1651852497709,1651852502142,4433,false,false;practice,2,2,FN6M.webm,88,non-word,1651852505503,1651852512325,6822,false,false;practice,3,1,FN86H-CATCH.webm,77,word,1651852516735,1651852520873,4138,true,false;practice,4,5,FN1H.webm,88,non-word,1651852530260,1651852536878,6618,false,false;practice,5,4,F4M.webm,77,word,1651852540535,1651852543774,3239,false,false;",
370,condition=M&label=SH&respKeyExp=1&respKeyTest=0,"practice,0,2,FN6M.webm,88,non-word,1651808123305,1651808132518,9213,false,false;practice,1,3,F2H-CATCH.webm,66,,1651808138729,1651808141859,3130,true,true;practice,2,5,FN1H.webm,88,non-word,1651808144825,1651808148829,4004,false,false;practice,3,4,F4M.webm,77,word,1651808152078,1651808155640,3562,false,false;practice,4,1,FN86H-CATCH.webm,66,,1651808158212,1651808160404,2192,true,true;practice,5,0,F40H.webm,77,word,1651808164136,1651808166436,2300,false,false;",
345,condition=H&label=S&respKeyExp=1&respKeyTest=1,"practice,0,3,F2H-CATCH.webm,77,word,1651806249473,1651806252638,3165,true,false;practice,1,2,FN6M.webm,88,non-word,1651806263017,1651806266338,3321,false,false;practice,2,1,FN86H-CATCH.webm,66,,1651806268677,1651806271550,2873,true,true;practice,3,0,F40H.webm,77,word,1651806273894,1651806278099,4205,false,false;practice,4,5,FN1H.webm,88,non-word,1651806280670,1651806283739,3069,false,false;practice,5,4,F4M.webm,77,word,1651806286074,1651806290273,4199,false,false;",
148,condition=H&label=S&respKeyExp=1&respKeyTest=1,"practice,0,2,FN6M.webm,88,non-word,1651192554815,1651192559056,4241,false,false;practice,1,1,FN86H-CATCH.webm,66,,1651192562587,1651192564976,2389,true,true;practice,2,0,F40H.webm,77,word,1651192569591,1651192572232,2641,false,false;practice,3,4,F4M.webm,77,word,1651192573985,1651192576232,2247,false,false;practice,4,3,F2H-CATCH.webm,66,,1651192578120,1651192579552,1432,true,true;practice,5,5,FN1H.webm,88,non-word,1651192581648,1651192583920,2272,false,false;",
