workerid,proliferate.condition,rsrb.age,error
248,condition=M&label=S&respKeyExp=0&respKeyTest=1,25,
170,condition=M&label=S&respKeyExp=0&respKeyTest=1,26,
169,condition=M&label=SH&respKeyExp=0&respKeyTest=0,39,
209,condition=M&label=SH&respKeyExp=0&respKeyTest=0,21,
321,condition=M&label=SH&respKeyExp=0&respKeyTest=0,58,
188,condition=M&label=SH&respKeyExp=0&respKeyTest=0,31,
175,condition=M&label=SH&respKeyExp=0&respKeyTest=0,43,
398,condition=M&label=SH&respKeyExp=0&respKeyTest=0,60,
451,condition=M&label=SH&respKeyExp=0&respKeyTest=0,33,
323,condition=M&label=SH&respKeyExp=0&respKeyTest=0,36,
181,condition=M&label=SH&respKeyExp=0&respKeyTest=0,21,
325,condition=M&label=SH&respKeyExp=0&respKeyTest=0,46,
442,condition=M&label=SH&respKeyExp=0&respKeyTest=0,30,
196,condition=M&label=SH&respKeyExp=0&respKeyTest=0,18,
456,condition=M&label=SH&respKeyExp=0&respKeyTest=0,22,
194,condition=M&label=SH&respKeyExp=0&respKeyTest=0,68,
288,condition=M&label=SH&respKeyExp=0&respKeyTest=0,34,
214,condition=M&label=SH&respKeyExp=0&respKeyTest=0,43,
369,condition=M&label=SH&respKeyExp=0&respKeyTest=1,64,
303,condition=M&label=SH&respKeyExp=0&respKeyTest=1,31,
178,condition=M&label=SH&respKeyExp=0&respKeyTest=1,38,
227,condition=M&label=SH&respKeyExp=0&respKeyTest=1,28,
241,condition=M&label=SH&respKeyExp=0&respKeyTest=1,36,
201,condition=M&label=SH&respKeyExp=0&respKeyTest=1,22,
168,condition=M&label=SH&respKeyExp=0&respKeyTest=1,42,
449,condition=M&label=SH&respKeyExp=0&respKeyTest=1,54,
218,condition=M&label=SH&respKeyExp=0&respKeyTest=1,32,
271,condition=M&label=SH&respKeyExp=0&respKeyTest=1,42,
197,condition=M&label=SH&respKeyExp=0&respKeyTest=1,36,
378,condition=M&label=SH&respKeyExp=0&respKeyTest=1,39,
208,condition=M&label=SH&respKeyExp=0&respKeyTest=1,40,
433,condition=M&label=SH&respKeyExp=0&respKeyTest=1,54,
213,condition=M&label=SH&respKeyExp=0&respKeyTest=1,28,
287,condition=M&label=SH&respKeyExp=0&respKeyTest=1,46,
186,condition=M&label=SH&respKeyExp=1&respKeyTest=1,18,
375,condition=M&label=SH&respKeyExp=1&respKeyTest=1,37,
380,condition=M&label=SH&respKeyExp=1&respKeyTest=1,40,
236,condition=M&label=SH&respKeyExp=1&respKeyTest=1,49,
361,condition=M&label=SH&respKeyExp=1&respKeyTest=1,26,
245,condition=M&label=SH&respKeyExp=1&respKeyTest=1,48,
229,condition=M&label=SH&respKeyExp=1&respKeyTest=1,21,
462,condition=M&label=SH&respKeyExp=1&respKeyTest=1,19,
247,condition=M&label=SH&respKeyExp=1&respKeyTest=1,40,
184,condition=M&label=SH&respKeyExp=1&respKeyTest=1,39,
463,condition=M&label=SH&respKeyExp=1&respKeyTest=1,25,
177,condition=M&label=SH&respKeyExp=1&respKeyTest=1,25,
416,condition=M&label=SH&respKeyExp=1&respKeyTest=1,32,
286,condition=M&label=SH&respKeyExp=1&respKeyTest=1,25,
235,condition=M&label=SH&respKeyExp=1&respKeyTest=1,,
161,condition=M&label=SH&respKeyExp=1&respKeyTest=1,49,
239,condition=M&label=SH&respKeyExp=1&respKeyTest=1,20,
158,condition=H&label=SH&respKeyExp=0&respKeyTest=0,38,
85,condition=H&label=SH&respKeyExp=0&respKeyTest=0,20,
128,condition=H&label=SH&respKeyExp=0&respKeyTest=0,44,
285,condition=H&label=SH&respKeyExp=0&respKeyTest=0,39,
72,condition=H&label=SH&respKeyExp=0&respKeyTest=0,31,
114,condition=H&label=SH&respKeyExp=0&respKeyTest=0,65,
415,condition=H&label=SH&respKeyExp=0&respKeyTest=0,23,
438,condition=H&label=SH&respKeyExp=0&respKeyTest=0,25,
123,condition=H&label=SH&respKeyExp=0&respKeyTest=0,45,
258,condition=H&label=SH&respKeyExp=0&respKeyTest=0,26,
270,condition=H&label=SH&respKeyExp=0&respKeyTest=0,45,
139,condition=H&label=SH&respKeyExp=0&respKeyTest=0,55,
360,condition=H&label=SH&respKeyExp=0&respKeyTest=0,37,
409,condition=H&label=SH&respKeyExp=0&respKeyTest=0,32,
87,condition=H&label=SH&respKeyExp=0&respKeyTest=0,44,
348,condition=H&label=SH&respKeyExp=0&respKeyTest=0,30,
122,condition=H&label=S&respKeyExp=0&respKeyTest=0,39,
113,condition=H&label=S&respKeyExp=0&respKeyTest=0,38,
429,condition=H&label=S&respKeyExp=0&respKeyTest=0,46,
414,condition=H&label=S&respKeyExp=0&respKeyTest=0,27,
65,condition=H&label=S&respKeyExp=0&respKeyTest=0,23,
66,condition=H&label=S&respKeyExp=0&respKeyTest=0,26,
284,condition=H&label=S&respKeyExp=0&respKeyTest=0,55,
154,condition=H&label=S&respKeyExp=0&respKeyTest=0,38,
92,condition=H&label=S&respKeyExp=0&respKeyTest=0,24,
394,condition=H&label=S&respKeyExp=0&respKeyTest=0,33,
133,condition=H&label=S&respKeyExp=0&respKeyTest=0,49,
316,condition=H&label=S&respKeyExp=0&respKeyTest=0,33,
436,condition=H&label=S&respKeyExp=0&respKeyTest=0,31,
333,condition=H&label=S&respKeyExp=0&respKeyTest=0,78,
125,condition=H&label=S&respKeyExp=0&respKeyTest=0,53,
320,condition=H&label=S&respKeyExp=0&respKeyTest=0,45,
336,condition=H&label=S&respKeyExp=0&respKeyTest=0,22,
203,condition=M&label=S&respKeyExp=1&respKeyTest=1,51,
367,condition=M&label=S&respKeyExp=1&respKeyTest=1,25,
167,condition=M&label=S&respKeyExp=1&respKeyTest=1,53,
314,condition=M&label=S&respKeyExp=1&respKeyTest=1,33,
195,condition=M&label=S&respKeyExp=1&respKeyTest=1,24,
174,condition=M&label=S&respKeyExp=1&respKeyTest=1,41,
412,condition=M&label=S&respKeyExp=1&respKeyTest=1,34,
251,condition=M&label=S&respKeyExp=1&respKeyTest=1,27,
317,condition=M&label=S&respKeyExp=1&respKeyTest=1,26,
165,condition=M&label=S&respKeyExp=1&respKeyTest=1,29,
425,condition=M&label=S&respKeyExp=1&respKeyTest=1,39,
439,condition=M&label=S&respKeyExp=1&respKeyTest=1,27,
318,condition=M&label=S&respKeyExp=1&respKeyTest=1,35,
223,condition=M&label=S&respKeyExp=1&respKeyTest=1,28,
283,condition=M&label=S&respKeyExp=1&respKeyTest=1,57,
246,condition=M&label=S&respKeyExp=1&respKeyTest=1,35,
