workerid,proliferate.condition,rsrb.ethnicity,error
222,condition=M&label=S&respKeyExp=1&respKeyTest=0,NonHisp,
193,condition=M&label=S&respKeyExp=1&respKeyTest=0,NonHisp,
328,condition=H&label=SH&respKeyExp=1&respKeyTest=0,NonHisp,
457,condition=H&label=SH&respKeyExp=1&respKeyTest=0,NonHisp,
90,condition=H&label=SH&respKeyExp=1&respKeyTest=0,NonHisp,
86,condition=H&label=SH&respKeyExp=1&respKeyTest=0,NonHisp,
364,condition=H&label=SH&respKeyExp=1&respKeyTest=0,NonHisp,
142,condition=H&label=SH&respKeyExp=1&respKeyTest=0,NonHisp,
157,condition=H&label=SH&respKeyExp=1&respKeyTest=0,NonHisp,
98,condition=H&label=SH&respKeyExp=1&respKeyTest=0,NonHisp,
137,condition=H&label=SH&respKeyExp=1&respKeyTest=0,NonHisp,
344,condition=H&label=SH&respKeyExp=1&respKeyTest=0,NonHisp,
276,condition=H&label=SH&respKeyExp=1&respKeyTest=0,NonHisp,
400,condition=H&label=SH&respKeyExp=1&respKeyTest=0,Hisp,
149,condition=H&label=SH&respKeyExp=1&respKeyTest=0,NonHisp,
103,condition=H&label=SH&respKeyExp=1&respKeyTest=0,NonHisp,
74,condition=H&label=SH&respKeyExp=1&respKeyTest=0,NonHisp,
459,condition=H&label=SH&respKeyExp=1&respKeyTest=0,NonHisp,
204,condition=M&label=S&respKeyExp=0&respKeyTest=0,NonHisp,
363,condition=M&label=S&respKeyExp=0&respKeyTest=0,NonHisp,
379,condition=M&label=S&respKeyExp=0&respKeyTest=0,NonHisp,
221,condition=M&label=S&respKeyExp=0&respKeyTest=0,NonHisp,
166,condition=M&label=S&respKeyExp=0&respKeyTest=0,NonHisp,
291,condition=M&label=S&respKeyExp=0&respKeyTest=0,Hisp,
275,condition=M&label=S&respKeyExp=0&respKeyTest=0,NonHisp,
443,condition=M&label=S&respKeyExp=0&respKeyTest=0,NonHisp,
231,condition=M&label=S&respKeyExp=0&respKeyTest=0,NonHisp,
262,condition=M&label=S&respKeyExp=0&respKeyTest=0,NonHisp,
198,condition=M&label=S&respKeyExp=0&respKeyTest=0,NonHisp,
202,condition=M&label=S&respKeyExp=0&respKeyTest=0,NonHisp,
172,condition=M&label=S&respKeyExp=0&respKeyTest=0,NonHisp,
232,condition=M&label=S&respKeyExp=0&respKeyTest=0,NonHisp,
399,condition=M&label=S&respKeyExp=0&respKeyTest=0,Hisp,
383,condition=H&label=S&respKeyExp=0&respKeyTest=1,NonHisp,
306,condition=H&label=S&respKeyExp=0&respKeyTest=1,NonHisp,
73,condition=H&label=S&respKeyExp=0&respKeyTest=1,NonHisp,
454,condition=H&label=S&respKeyExp=0&respKeyTest=1,NonHisp,
421,condition=H&label=S&respKeyExp=0&respKeyTest=1,NonHisp,
118,condition=H&label=S&respKeyExp=0&respKeyTest=1,NonHisp,
89,condition=H&label=S&respKeyExp=0&respKeyTest=1,Hisp,
342,condition=H&label=S&respKeyExp=0&respKeyTest=1,NonHisp,
290,condition=H&label=S&respKeyExp=0&respKeyTest=1,NonHisp,
274,condition=H&label=S&respKeyExp=0&respKeyTest=1,NonHisp,
94,condition=H&label=S&respKeyExp=0&respKeyTest=1,NonHisp,
404,condition=H&label=S&respKeyExp=0&respKeyTest=1,NonHisp,
107,condition=H&label=S&respKeyExp=0&respKeyTest=1,NonHisp,
97,condition=H&label=S&respKeyExp=0&respKeyTest=1,NonHisp,
155,condition=H&label=S&respKeyExp=0&respKeyTest=1,NonHisp,
147,condition=H&label=S&respKeyExp=0&respKeyTest=1,NonHisp,
187,condition=M&label=S&respKeyExp=0&respKeyTest=1,NonHisp,
179,condition=M&label=S&respKeyExp=0&respKeyTest=1,Hisp,
420,condition=M&label=S&respKeyExp=0&respKeyTest=1,NonHisp,
341,condition=M&label=S&respKeyExp=0&respKeyTest=1,NonHisp,
260,condition=M&label=S&respKeyExp=0&respKeyTest=1,NonHisp,
182,condition=M&label=S&respKeyExp=0&respKeyTest=1,NonHisp,
382,condition=M&label=S&respKeyExp=0&respKeyTest=1,NonHisp,
376,condition=M&label=S&respKeyExp=0&respKeyTest=1,NonHisp,
453,condition=M&label=S&respKeyExp=0&respKeyTest=1,NonHisp,
240,condition=M&label=S&respKeyExp=0&respKeyTest=1,NonHisp,
176,condition=M&label=S&respKeyExp=0&respKeyTest=1,NonHisp,
305,condition=M&label=S&respKeyExp=0&respKeyTest=1,NonHisp,
289,condition=M&label=S&respKeyExp=0&respKeyTest=1,NonHisp,
230,condition=M&label=S&respKeyExp=0&respKeyTest=1,NonHisp,
248,condition=M&label=S&respKeyExp=0&respKeyTest=1,NonHisp,
170,condition=M&label=S&respKeyExp=0&respKeyTest=1,NonHisp,
169,condition=M&label=SH&respKeyExp=0&respKeyTest=0,NonHisp,
209,condition=M&label=SH&respKeyExp=0&respKeyTest=0,NonHisp,
321,condition=M&label=SH&respKeyExp=0&respKeyTest=0,NonHisp,
188,condition=M&label=SH&respKeyExp=0&respKeyTest=0,NonHisp,
175,condition=M&label=SH&respKeyExp=0&respKeyTest=0,NonHisp,
398,condition=M&label=SH&respKeyExp=0&respKeyTest=0,NonHisp,
451,condition=M&label=SH&respKeyExp=0&respKeyTest=0,Hisp,
323,condition=M&label=SH&respKeyExp=0&respKeyTest=0,NonHisp,
181,condition=M&label=SH&respKeyExp=0&respKeyTest=0,NonHisp,
325,condition=M&label=SH&respKeyExp=0&respKeyTest=0,NonHisp,
442,condition=M&label=SH&respKeyExp=0&respKeyTest=0,NonHisp,
196,condition=M&label=SH&respKeyExp=0&respKeyTest=0,NonHisp,
456,condition=M&label=SH&respKeyExp=0&respKeyTest=0,NonHisp,
194,condition=M&label=SH&respKeyExp=0&respKeyTest=0,NonHisp,
288,condition=M&label=SH&respKeyExp=0&respKeyTest=0,NonHisp,
214,condition=M&label=SH&respKeyExp=0&respKeyTest=0,NonHisp,
369,condition=M&label=SH&respKeyExp=0&respKeyTest=1,NonHisp,
303,condition=M&label=SH&respKeyExp=0&respKeyTest=1,NonHisp,
178,condition=M&label=SH&respKeyExp=0&respKeyTest=1,NonHisp,
227,condition=M&label=SH&respKeyExp=0&respKeyTest=1,NonHisp,
241,condition=M&label=SH&respKeyExp=0&respKeyTest=1,NonHisp,
201,condition=M&label=SH&respKeyExp=0&respKeyTest=1,Hisp,
168,condition=M&label=SH&respKeyExp=0&respKeyTest=1,NonHisp,
449,condition=M&label=SH&respKeyExp=0&respKeyTest=1,NonHisp,
218,condition=M&label=SH&respKeyExp=0&respKeyTest=1,NonHisp,
271,condition=M&label=SH&respKeyExp=0&respKeyTest=1,NonHisp,
197,condition=M&label=SH&respKeyExp=0&respKeyTest=1,NonHisp,
378,condition=M&label=SH&respKeyExp=0&respKeyTest=1,NonHisp,
208,condition=M&label=SH&respKeyExp=0&respKeyTest=1,NonHisp,
433,condition=M&label=SH&respKeyExp=0&respKeyTest=1,NonHisp,
213,condition=M&label=SH&respKeyExp=0&respKeyTest=1,NonHisp,
287,condition=M&label=SH&respKeyExp=0&respKeyTest=1,NonHisp,
186,condition=M&label=SH&respKeyExp=1&respKeyTest=1,NonHisp,
375,condition=M&label=SH&respKeyExp=1&respKeyTest=1,NonHisp,
380,condition=M&label=SH&respKeyExp=1&respKeyTest=1,NonHisp,
236,condition=M&label=SH&respKeyExp=1&respKeyTest=1,NonHisp,
361,condition=M&label=SH&respKeyExp=1&respKeyTest=1,NonHisp,
245,condition=M&label=SH&respKeyExp=1&respKeyTest=1,NonHisp,
229,condition=M&label=SH&respKeyExp=1&respKeyTest=1,NonHisp,
462,condition=M&label=SH&respKeyExp=1&respKeyTest=1,NonHisp,
247,condition=M&label=SH&respKeyExp=1&respKeyTest=1,NonHisp,
184,condition=M&label=SH&respKeyExp=1&respKeyTest=1,NonHisp,
463,condition=M&label=SH&respKeyExp=1&respKeyTest=1,NonHisp,
177,condition=M&label=SH&respKeyExp=1&respKeyTest=1,NonHisp,
416,condition=M&label=SH&respKeyExp=1&respKeyTest=1,NonHisp,
286,condition=M&label=SH&respKeyExp=1&respKeyTest=1,Hisp,
235,condition=M&label=SH&respKeyExp=1&respKeyTest=1,NA,
161,condition=M&label=SH&respKeyExp=1&respKeyTest=1,NonHisp,
239,condition=M&label=SH&respKeyExp=1&respKeyTest=1,NonHisp,
158,condition=H&label=SH&respKeyExp=0&respKeyTest=0,NonHisp,
85,condition=H&label=SH&respKeyExp=0&respKeyTest=0,NonHisp,
128,condition=H&label=SH&respKeyExp=0&respKeyTest=0,NonHisp,
285,condition=H&label=SH&respKeyExp=0&respKeyTest=0,NonHisp,
72,condition=H&label=SH&respKeyExp=0&respKeyTest=0,NonHisp,
114,condition=H&label=SH&respKeyExp=0&respKeyTest=0,NonHisp,
415,condition=H&label=SH&respKeyExp=0&respKeyTest=0,NonHisp,
438,condition=H&label=SH&respKeyExp=0&respKeyTest=0,NonHisp,
123,condition=H&label=SH&respKeyExp=0&respKeyTest=0,NonHisp,
258,condition=H&label=SH&respKeyExp=0&respKeyTest=0,NonHisp,
270,condition=H&label=SH&respKeyExp=0&respKeyTest=0,NonHisp,
139,condition=H&label=SH&respKeyExp=0&respKeyTest=0,NonHisp,
360,condition=H&label=SH&respKeyExp=0&respKeyTest=0,NonHisp,
409,condition=H&label=SH&respKeyExp=0&respKeyTest=0,NonHisp,
87,condition=H&label=SH&respKeyExp=0&respKeyTest=0,NonHisp,
348,condition=H&label=SH&respKeyExp=0&respKeyTest=0,Hisp,
122,condition=H&label=S&respKeyExp=0&respKeyTest=0,NonHisp,
113,condition=H&label=S&respKeyExp=0&respKeyTest=0,NonHisp,
429,condition=H&label=S&respKeyExp=0&respKeyTest=0,NonHisp,
414,condition=H&label=S&respKeyExp=0&respKeyTest=0,NonHisp,
65,condition=H&label=S&respKeyExp=0&respKeyTest=0,NonHisp,
66,condition=H&label=S&respKeyExp=0&respKeyTest=0,NonHisp,
284,condition=H&label=S&respKeyExp=0&respKeyTest=0,NonHisp,
154,condition=H&label=S&respKeyExp=0&respKeyTest=0,NonHisp,
92,condition=H&label=S&respKeyExp=0&respKeyTest=0,NonHisp,
394,condition=H&label=S&respKeyExp=0&respKeyTest=0,NonHisp,
133,condition=H&label=S&respKeyExp=0&respKeyTest=0,NonHisp,
316,condition=H&label=S&respKeyExp=0&respKeyTest=0,NonHisp,
436,condition=H&label=S&respKeyExp=0&respKeyTest=0,NonHisp,
333,condition=H&label=S&respKeyExp=0&respKeyTest=0,NonHisp,
125,condition=H&label=S&respKeyExp=0&respKeyTest=0,NonHisp,
320,condition=H&label=S&respKeyExp=0&respKeyTest=0,NonHisp,
336,condition=H&label=S&respKeyExp=0&respKeyTest=0,NonHisp,
203,condition=M&label=S&respKeyExp=1&respKeyTest=1,NonHisp,
367,condition=M&label=S&respKeyExp=1&respKeyTest=1,NonHisp,
167,condition=M&label=S&respKeyExp=1&respKeyTest=1,NonHisp,
314,condition=M&label=S&respKeyExp=1&respKeyTest=1,NonHisp,
195,condition=M&label=S&respKeyExp=1&respKeyTest=1,NonHisp,
174,condition=M&label=S&respKeyExp=1&respKeyTest=1,NonHisp,
412,condition=M&label=S&respKeyExp=1&respKeyTest=1,NonHisp,
251,condition=M&label=S&respKeyExp=1&respKeyTest=1,NonHisp,
317,condition=M&label=S&respKeyExp=1&respKeyTest=1,NonHisp,
165,condition=M&label=S&respKeyExp=1&respKeyTest=1,NonHisp,
425,condition=M&label=S&respKeyExp=1&respKeyTest=1,NonHisp,
439,condition=M&label=S&respKeyExp=1&respKeyTest=1,NonHisp,
318,condition=M&label=S&respKeyExp=1&respKeyTest=1,NonHisp,
223,condition=M&label=S&respKeyExp=1&respKeyTest=1,NonHisp,
283,condition=M&label=S&respKeyExp=1&respKeyTest=1,NonHisp,
246,condition=M&label=S&respKeyExp=1&respKeyTest=1,NonHisp,
