workerid,proliferate.condition,rsrb.sex,error
453,condition=M&label=S&respKeyExp=0&respKeyTest=1,Male,
240,condition=M&label=S&respKeyExp=0&respKeyTest=1,Male,
176,condition=M&label=S&respKeyExp=0&respKeyTest=1,Male,
305,condition=M&label=S&respKeyExp=0&respKeyTest=1,Male,
289,condition=M&label=S&respKeyExp=0&respKeyTest=1,Male,
230,condition=M&label=S&respKeyExp=0&respKeyTest=1,Male,
248,condition=M&label=S&respKeyExp=0&respKeyTest=1,Male,
170,condition=M&label=S&respKeyExp=0&respKeyTest=1,NA,
169,condition=M&label=SH&respKeyExp=0&respKeyTest=0,Female,
209,condition=M&label=SH&respKeyExp=0&respKeyTest=0,Male,
321,condition=M&label=SH&respKeyExp=0&respKeyTest=0,Female,
188,condition=M&label=SH&respKeyExp=0&respKeyTest=0,Female,
175,condition=M&label=SH&respKeyExp=0&respKeyTest=0,Female,
398,condition=M&label=SH&respKeyExp=0&respKeyTest=0,Female,
451,condition=M&label=SH&respKeyExp=0&respKeyTest=0,Male,
323,condition=M&label=SH&respKeyExp=0&respKeyTest=0,Male,
181,condition=M&label=SH&respKeyExp=0&respKeyTest=0,Male,
325,condition=M&label=SH&respKeyExp=0&respKeyTest=0,Female,
442,condition=M&label=SH&respKeyExp=0&respKeyTest=0,Female,
196,condition=M&label=SH&respKeyExp=0&respKeyTest=0,Female,
456,condition=M&label=SH&respKeyExp=0&respKeyTest=0,Female,
194,condition=M&label=SH&respKeyExp=0&respKeyTest=0,Male,
288,condition=M&label=SH&respKeyExp=0&respKeyTest=0,Female,
214,condition=M&label=SH&respKeyExp=0&respKeyTest=0,Male,
369,condition=M&label=SH&respKeyExp=0&respKeyTest=1,Female,
303,condition=M&label=SH&respKeyExp=0&respKeyTest=1,Male,
178,condition=M&label=SH&respKeyExp=0&respKeyTest=1,Female,
227,condition=M&label=SH&respKeyExp=0&respKeyTest=1,Female,
241,condition=M&label=SH&respKeyExp=0&respKeyTest=1,Male,
201,condition=M&label=SH&respKeyExp=0&respKeyTest=1,Female,
168,condition=M&label=SH&respKeyExp=0&respKeyTest=1,Female,
449,condition=M&label=SH&respKeyExp=0&respKeyTest=1,Male,
218,condition=M&label=SH&respKeyExp=0&respKeyTest=1,Male,
271,condition=M&label=SH&respKeyExp=0&respKeyTest=1,Male,
197,condition=M&label=SH&respKeyExp=0&respKeyTest=1,Female,
378,condition=M&label=SH&respKeyExp=0&respKeyTest=1,Female,
208,condition=M&label=SH&respKeyExp=0&respKeyTest=1,Female,
433,condition=M&label=SH&respKeyExp=0&respKeyTest=1,Male,
213,condition=M&label=SH&respKeyExp=0&respKeyTest=1,Female,
287,condition=M&label=SH&respKeyExp=0&respKeyTest=1,Male,
186,condition=M&label=SH&respKeyExp=1&respKeyTest=1,Female,
375,condition=M&label=SH&respKeyExp=1&respKeyTest=1,Female,
380,condition=M&label=SH&respKeyExp=1&respKeyTest=1,Female,
236,condition=M&label=SH&respKeyExp=1&respKeyTest=1,Male,
361,condition=M&label=SH&respKeyExp=1&respKeyTest=1,Female,
245,condition=M&label=SH&respKeyExp=1&respKeyTest=1,Male,
229,condition=M&label=SH&respKeyExp=1&respKeyTest=1,Male,
462,condition=M&label=SH&respKeyExp=1&respKeyTest=1,Male,
247,condition=M&label=SH&respKeyExp=1&respKeyTest=1,Male,
184,condition=M&label=SH&respKeyExp=1&respKeyTest=1,Male,
463,condition=M&label=SH&respKeyExp=1&respKeyTest=1,Female,
177,condition=M&label=SH&respKeyExp=1&respKeyTest=1,Female,
416,condition=M&label=SH&respKeyExp=1&respKeyTest=1,Male,
286,condition=M&label=SH&respKeyExp=1&respKeyTest=1,Male,
235,condition=M&label=SH&respKeyExp=1&respKeyTest=1,NA,
161,condition=M&label=SH&respKeyExp=1&respKeyTest=1,Female,
239,condition=M&label=SH&respKeyExp=1&respKeyTest=1,Female,
158,condition=H&label=SH&respKeyExp=0&respKeyTest=0,Male,
85,condition=H&label=SH&respKeyExp=0&respKeyTest=0,Female,
128,condition=H&label=SH&respKeyExp=0&respKeyTest=0,Female,
285,condition=H&label=SH&respKeyExp=0&respKeyTest=0,Male,
72,condition=H&label=SH&respKeyExp=0&respKeyTest=0,Female,
114,condition=H&label=SH&respKeyExp=0&respKeyTest=0,Female,
415,condition=H&label=SH&respKeyExp=0&respKeyTest=0,Female,
438,condition=H&label=SH&respKeyExp=0&respKeyTest=0,NA,
123,condition=H&label=SH&respKeyExp=0&respKeyTest=0,Male,
258,condition=H&label=SH&respKeyExp=0&respKeyTest=0,Male,
270,condition=H&label=SH&respKeyExp=0&respKeyTest=0,Male,
139,condition=H&label=SH&respKeyExp=0&respKeyTest=0,Female,
360,condition=H&label=SH&respKeyExp=0&respKeyTest=0,Female,
409,condition=H&label=SH&respKeyExp=0&respKeyTest=0,Male,
87,condition=H&label=SH&respKeyExp=0&respKeyTest=0,Female,
348,condition=H&label=SH&respKeyExp=0&respKeyTest=0,Female,
122,condition=H&label=S&respKeyExp=0&respKeyTest=0,Female,
113,condition=H&label=S&respKeyExp=0&respKeyTest=0,Male,
429,condition=H&label=S&respKeyExp=0&respKeyTest=0,Female,
414,condition=H&label=S&respKeyExp=0&respKeyTest=0,Female,
65,condition=H&label=S&respKeyExp=0&respKeyTest=0,Female,
66,condition=H&label=S&respKeyExp=0&respKeyTest=0,NA,
284,condition=H&label=S&respKeyExp=0&respKeyTest=0,Male,
154,condition=H&label=S&respKeyExp=0&respKeyTest=0,Male,
92,condition=H&label=S&respKeyExp=0&respKeyTest=0,Male,
394,condition=H&label=S&respKeyExp=0&respKeyTest=0,Female,
133,condition=H&label=S&respKeyExp=0&respKeyTest=0,Female,
316,condition=H&label=S&respKeyExp=0&respKeyTest=0,Male,
436,condition=H&label=S&respKeyExp=0&respKeyTest=0,Female,
333,condition=H&label=S&respKeyExp=0&respKeyTest=0,Female,
125,condition=H&label=S&respKeyExp=0&respKeyTest=0,Female,
320,condition=H&label=S&respKeyExp=0&respKeyTest=0,Male,
336,condition=H&label=S&respKeyExp=0&respKeyTest=0,Female,
203,condition=M&label=S&respKeyExp=1&respKeyTest=1,Female,
367,condition=M&label=S&respKeyExp=1&respKeyTest=1,Female,
167,condition=M&label=S&respKeyExp=1&respKeyTest=1,Female,
314,condition=M&label=S&respKeyExp=1&respKeyTest=1,Male,
195,condition=M&label=S&respKeyExp=1&respKeyTest=1,Female,
174,condition=M&label=S&respKeyExp=1&respKeyTest=1,Male,
412,condition=M&label=S&respKeyExp=1&respKeyTest=1,Male,
251,condition=M&label=S&respKeyExp=1&respKeyTest=1,Male,
317,condition=M&label=S&respKeyExp=1&respKeyTest=1,Male,
165,condition=M&label=S&respKeyExp=1&respKeyTest=1,Female,
425,condition=M&label=S&respKeyExp=1&respKeyTest=1,Male,
439,condition=M&label=S&respKeyExp=1&respKeyTest=1,Female,
318,condition=M&label=S&respKeyExp=1&respKeyTest=1,Male,
223,condition=M&label=S&respKeyExp=1&respKeyTest=1,Male,
283,condition=M&label=S&respKeyExp=1&respKeyTest=1,Male,
246,condition=M&label=S&respKeyExp=1&respKeyTest=1,Male,
