workerid,proliferate.condition,rsrb.raceother,error
363,condition=M&label=S&respKeyExp=0&respKeyTest=0,,
379,condition=M&label=S&respKeyExp=0&respKeyTest=0,,
221,condition=M&label=S&respKeyExp=0&respKeyTest=0,,
166,condition=M&label=S&respKeyExp=0&respKeyTest=0,,
291,condition=M&label=S&respKeyExp=0&respKeyTest=0,,
275,condition=M&label=S&respKeyExp=0&respKeyTest=0,,
443,condition=M&label=S&respKeyExp=0&respKeyTest=0,,
231,condition=M&label=S&respKeyExp=0&respKeyTest=0,,
262,condition=M&label=S&respKeyExp=0&respKeyTest=0,,
198,condition=M&label=S&respKeyExp=0&respKeyTest=0,,
202,condition=M&label=S&respKeyExp=0&respKeyTest=0,,
172,condition=M&label=S&respKeyExp=0&respKeyTest=0,,
232,condition=M&label=S&respKeyExp=0&respKeyTest=0,,
399,condition=M&label=S&respKeyExp=0&respKeyTest=0,,
383,condition=H&label=S&respKeyExp=0&respKeyTest=1,,
306,condition=H&label=S&respKeyExp=0&respKeyTest=1,,
73,condition=H&label=S&respKeyExp=0&respKeyTest=1,,
454,condition=H&label=S&respKeyExp=0&respKeyTest=1,,
421,condition=H&label=S&respKeyExp=0&respKeyTest=1,,
118,condition=H&label=S&respKeyExp=0&respKeyTest=1,,
89,condition=H&label=S&respKeyExp=0&respKeyTest=1,,
342,condition=H&label=S&respKeyExp=0&respKeyTest=1,,
290,condition=H&label=S&respKeyExp=0&respKeyTest=1,,
274,condition=H&label=S&respKeyExp=0&respKeyTest=1,,
94,condition=H&label=S&respKeyExp=0&respKeyTest=1,,
404,condition=H&label=S&respKeyExp=0&respKeyTest=1,,
107,condition=H&label=S&respKeyExp=0&respKeyTest=1,,
97,condition=H&label=S&respKeyExp=0&respKeyTest=1,,
155,condition=H&label=S&respKeyExp=0&respKeyTest=1,,
147,condition=H&label=S&respKeyExp=0&respKeyTest=1,,
187,condition=M&label=S&respKeyExp=0&respKeyTest=1,,
179,condition=M&label=S&respKeyExp=0&respKeyTest=1,Latino/indigenous,
420,condition=M&label=S&respKeyExp=0&respKeyTest=1,,
341,condition=M&label=S&respKeyExp=0&respKeyTest=1,,
260,condition=M&label=S&respKeyExp=0&respKeyTest=1,,
182,condition=M&label=S&respKeyExp=0&respKeyTest=1,,
382,condition=M&label=S&respKeyExp=0&respKeyTest=1,,
376,condition=M&label=S&respKeyExp=0&respKeyTest=1,,
453,condition=M&label=S&respKeyExp=0&respKeyTest=1,,
240,condition=M&label=S&respKeyExp=0&respKeyTest=1,,
176,condition=M&label=S&respKeyExp=0&respKeyTest=1,,
305,condition=M&label=S&respKeyExp=0&respKeyTest=1,,
289,condition=M&label=S&respKeyExp=0&respKeyTest=1,,
230,condition=M&label=S&respKeyExp=0&respKeyTest=1,,
248,condition=M&label=S&respKeyExp=0&respKeyTest=1,,
170,condition=M&label=S&respKeyExp=0&respKeyTest=1,,
169,condition=M&label=SH&respKeyExp=0&respKeyTest=0,,
209,condition=M&label=SH&respKeyExp=0&respKeyTest=0,,
321,condition=M&label=SH&respKeyExp=0&respKeyTest=0,,
188,condition=M&label=SH&respKeyExp=0&respKeyTest=0,,
175,condition=M&label=SH&respKeyExp=0&respKeyTest=0,,
398,condition=M&label=SH&respKeyExp=0&respKeyTest=0,,
451,condition=M&label=SH&respKeyExp=0&respKeyTest=0,,
323,condition=M&label=SH&respKeyExp=0&respKeyTest=0,,
181,condition=M&label=SH&respKeyExp=0&respKeyTest=0,,
325,condition=M&label=SH&respKeyExp=0&respKeyTest=0,,
442,condition=M&label=SH&respKeyExp=0&respKeyTest=0,,
196,condition=M&label=SH&respKeyExp=0&respKeyTest=0,,
456,condition=M&label=SH&respKeyExp=0&respKeyTest=0,,
194,condition=M&label=SH&respKeyExp=0&respKeyTest=0,,
288,condition=M&label=SH&respKeyExp=0&respKeyTest=0,,
214,condition=M&label=SH&respKeyExp=0&respKeyTest=0,,
369,condition=M&label=SH&respKeyExp=0&respKeyTest=1,,
303,condition=M&label=SH&respKeyExp=0&respKeyTest=1,,
178,condition=M&label=SH&respKeyExp=0&respKeyTest=1,,
227,condition=M&label=SH&respKeyExp=0&respKeyTest=1,,
241,condition=M&label=SH&respKeyExp=0&respKeyTest=1,,
201,condition=M&label=SH&respKeyExp=0&respKeyTest=1,hispanic,
168,condition=M&label=SH&respKeyExp=0&respKeyTest=1,,
449,condition=M&label=SH&respKeyExp=0&respKeyTest=1,,
218,condition=M&label=SH&respKeyExp=0&respKeyTest=1,,
271,condition=M&label=SH&respKeyExp=0&respKeyTest=1,,
197,condition=M&label=SH&respKeyExp=0&respKeyTest=1,,
378,condition=M&label=SH&respKeyExp=0&respKeyTest=1,,
208,condition=M&label=SH&respKeyExp=0&respKeyTest=1,,
433,condition=M&label=SH&respKeyExp=0&respKeyTest=1,,
213,condition=M&label=SH&respKeyExp=0&respKeyTest=1,,
287,condition=M&label=SH&respKeyExp=0&respKeyTest=1,,
186,condition=M&label=SH&respKeyExp=1&respKeyTest=1,,
375,condition=M&label=SH&respKeyExp=1&respKeyTest=1,,
380,condition=M&label=SH&respKeyExp=1&respKeyTest=1,,
236,condition=M&label=SH&respKeyExp=1&respKeyTest=1,,
361,condition=M&label=SH&respKeyExp=1&respKeyTest=1,,
245,condition=M&label=SH&respKeyExp=1&respKeyTest=1,,
229,condition=M&label=SH&respKeyExp=1&respKeyTest=1,,
462,condition=M&label=SH&respKeyExp=1&respKeyTest=1,,
247,condition=M&label=SH&respKeyExp=1&respKeyTest=1,,
184,condition=M&label=SH&respKeyExp=1&respKeyTest=1,,
463,condition=M&label=SH&respKeyExp=1&respKeyTest=1,,
177,condition=M&label=SH&respKeyExp=1&respKeyTest=1,,
416,condition=M&label=SH&respKeyExp=1&respKeyTest=1,,
286,condition=M&label=SH&respKeyExp=1&respKeyTest=1,,
235,condition=M&label=SH&respKeyExp=1&respKeyTest=1,,
161,condition=M&label=SH&respKeyExp=1&respKeyTest=1,,
239,condition=M&label=SH&respKeyExp=1&respKeyTest=1,,
158,condition=H&label=SH&respKeyExp=0&respKeyTest=0,,
85,condition=H&label=SH&respKeyExp=0&respKeyTest=0,,
128,condition=H&label=SH&respKeyExp=0&respKeyTest=0,,
285,condition=H&label=SH&respKeyExp=0&respKeyTest=0,,
72,condition=H&label=SH&respKeyExp=0&respKeyTest=0,,
114,condition=H&label=SH&respKeyExp=0&respKeyTest=0,,
415,condition=H&label=SH&respKeyExp=0&respKeyTest=0,,
438,condition=H&label=SH&respKeyExp=0&respKeyTest=0,,
123,condition=H&label=SH&respKeyExp=0&respKeyTest=0,,
258,condition=H&label=SH&respKeyExp=0&respKeyTest=0,,
270,condition=H&label=SH&respKeyExp=0&respKeyTest=0,,
139,condition=H&label=SH&respKeyExp=0&respKeyTest=0,,
360,condition=H&label=SH&respKeyExp=0&respKeyTest=0,,
409,condition=H&label=SH&respKeyExp=0&respKeyTest=0,,
87,condition=H&label=SH&respKeyExp=0&respKeyTest=0,,
348,condition=H&label=SH&respKeyExp=0&respKeyTest=0,,
122,condition=H&label=S&respKeyExp=0&respKeyTest=0,,
113,condition=H&label=S&respKeyExp=0&respKeyTest=0,,
429,condition=H&label=S&respKeyExp=0&respKeyTest=0,,
414,condition=H&label=S&respKeyExp=0&respKeyTest=0,,
65,condition=H&label=S&respKeyExp=0&respKeyTest=0,,
66,condition=H&label=S&respKeyExp=0&respKeyTest=0,,
284,condition=H&label=S&respKeyExp=0&respKeyTest=0,,
154,condition=H&label=S&respKeyExp=0&respKeyTest=0,,
92,condition=H&label=S&respKeyExp=0&respKeyTest=0,,
394,condition=H&label=S&respKeyExp=0&respKeyTest=0,,
133,condition=H&label=S&respKeyExp=0&respKeyTest=0,,
316,condition=H&label=S&respKeyExp=0&respKeyTest=0,,
436,condition=H&label=S&respKeyExp=0&respKeyTest=0,,
333,condition=H&label=S&respKeyExp=0&respKeyTest=0,,
125,condition=H&label=S&respKeyExp=0&respKeyTest=0,,
320,condition=H&label=S&respKeyExp=0&respKeyTest=0,,
336,condition=H&label=S&respKeyExp=0&respKeyTest=0,,
203,condition=M&label=S&respKeyExp=1&respKeyTest=1,,
367,condition=M&label=S&respKeyExp=1&respKeyTest=1,,
167,condition=M&label=S&respKeyExp=1&respKeyTest=1,,
314,condition=M&label=S&respKeyExp=1&respKeyTest=1,,
195,condition=M&label=S&respKeyExp=1&respKeyTest=1,,
174,condition=M&label=S&respKeyExp=1&respKeyTest=1,,
412,condition=M&label=S&respKeyExp=1&respKeyTest=1,,
251,condition=M&label=S&respKeyExp=1&respKeyTest=1,,
317,condition=M&label=S&respKeyExp=1&respKeyTest=1,,
165,condition=M&label=S&respKeyExp=1&respKeyTest=1,,
425,condition=M&label=S&respKeyExp=1&respKeyTest=1,,
439,condition=M&label=S&respKeyExp=1&respKeyTest=1,,
318,condition=M&label=S&respKeyExp=1&respKeyTest=1,,
223,condition=M&label=S&respKeyExp=1&respKeyTest=1,,
283,condition=M&label=S&respKeyExp=1&respKeyTest=1,,
246,condition=M&label=S&respKeyExp=1&respKeyTest=1,,
